ID,Item,Company,Quantity,Target FG Warehouse,Currency,Conversion Rate,Show Operations,Transfer Material Against,With Operations,ID (Items),Item Code (Items),Qty (Items),Rate (Items),UOM (Items),Include Item In Manufacturing (Items),Stock Qty (Items),Stock UOM (Items),Conversion Factor (Items),BOM No (Items),Do Not Explode (Items),Source Warehouse (Items),ID (Operations),Operation (Operations),Operation Time (Operations),Workstation (Operations),Workstation Type (Operations)
BOM-R215 OC and RAD Core End Plate2.5X110X1021-001,R215 OC and RAD Core End Plate2.5X110X1021,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,Aluminium Sheet 2.5MM Thk Without Cladded,0.767,1,Kg,1,0.767,Kg,1,,0,Raw Materials Stores – TPL,,Shearing,1,,Shearing Machine
BOM-R215 OC-001,R215 OC,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,Drain Plug,1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,Tank To Core,1,,Mig Welding
,,,,,,,,,,,R215 OC Core,1,34.88,Nos,1,1,Nos,1,BOM-R215 OC Core-001,0,,,Angle Assembly,1,,Mig Welding
,,,,,,,,,,,Rubber Seal,1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,Leak Testing,1,,Leak Test
,,,,,,,,,,,R215 OC Bottom Tank Sub Assy,1,10.39,Nos,1,1,Nos,1,BOM-R215 OC Bottom Tank Sub Assy-001,0,,,,,,
,,,,,,,,,,,R215 OC Top Tank Sub Assy,1,9.39,Nos,1,1,Nos,1,BOM-R215 Fan Cowl-001,0,,,,,,
,,,,,,,,,,,OC Inlet & Outlet Block 101X66X30,2,4.49,Nos,1,2,Nos,1,BOM-OC Inlet & Outlet Block 101X66X30-001,0,,,,,,
,,,,,,,,,,,Condenser Mounting Block 31X19X25,2,1.39,Nos,1,2,Nos,1,BOM-Condenser Mounting Block 31X19X25-001,0,,,,,,
,,,,,,,,,,,Stay Block 50X25X150,1,1.51,Nos,1,1,Nos,1,BOM-Stay Block 50X25X150-001,0,,,,,,
BOM-R215 OC Top Tank Sub Assy-001,R215 OC Top Tank Sub Assy,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008,2,0.135555556,Nos,1,2,Nos,1,BOM-Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008-001,0,,,Tank Assembly,1,,Mig Welding
,,,,,,,,,,,R215 OC Top Tank,1,9.11,Nos,1,1,Nos,1,BOM-R215 OC Top Tank-001,0,,,,,,
BOM-R215 OC Top & Bottom Tank 70x113x7.5x377LG-001,R215 OC Top & Bottom Tank 70x113x7.5x377LG,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,Aluminium Extrusion No 0073C-ALU-2-0008 70(H)*113(W)*7.5(T)*377LG,3.11,1,Kg,1,3.11,Kg,1,,0,Raw Materials Stores – TPL,,Size Cutting,1,,Accurate Cutting
,,,,,,,,,,,,,,,,,,,,,,,Drilling & Boring,1,,"Drilling, Boring and Milling"
BOM-R215 OC Core End Plate 5X165X1021-001,R215 OC Core End Plate 5X165X1021,Teksons Pvt Ltd,1,WIP-RP - TPL,INR,1,1,Work Order,1,,Aluminium Sheet 5MM Thk,2.3,1,Kg,1,2.3,Kg,1,,0,Raw Materials Stores – TPL,,Shearing,1,,Shearing Machine
BOM-R215 OC Bottom Tank Sub Assy-001,R215 OC Bottom Tank Sub Assy,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,R215 OC Bottom Tank,1,9.11,Nos,1,1,Nos,1,BOM-R215 OC Bottom Tank-001,0,,,Tank Assembly,1,,Mig Welding
,,,,,,,,,,,0261Oc-Alu-2-004,1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008,2,0.135555556,Nos,1,2,Nos,1,BOM-Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008-001,0,,,,,,
BOM-R215 LH – RH Condenser MTG BKT-001,R215 LH – RH Condenser MTG BKT,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,R215 LH – RH Condenser MTG BKT,1,1,Set,1,1,Set,1,,1,BOF Stores – TPL,,Painting,1,,RA Painting
BOM-Internal Fin For CAC 0.2*200*90-001,Internal Fin For CAC 0.2*200*90,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,Aluminium Coil 0.2×200MM,0.033,1,Kg,1,0.033,Kg,1,,0,Raw Materials Stores – TPL,,Fin Forming,1,,Fin Forming and Cutting
BOM-Internal Fin For CAC 0.2*140*90-001,Internal Fin For CAC 0.2*140*90,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,Aluminium Coil 0.2×140,0.023,1,Kg,1,0.023,Kg,1,,0,Raw Materials Stores – TPL,,Fin Forming,1,,Fin Forming and Cutting
BOM-R215 Fin For RAD 0.2*110*991-001,R215 Fin For RAD 0.2*110*991,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,Aluminium Coil 0.2*110,0.231,1,Kg,1,0.231,Kg,1,,0,Raw Materials Stores – TPL,,Fin Forming,1,,Fin Forming and Cutting
BOM-R215 Fin For OC 0.3*110*991-001,R215 Fin For OC 0.3*110*991,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,Aluminium Coil 0.3*110MM,0.35,1,Kg,1,0.35,Kg,1,,0,Raw Materials Stores – TPL,,Fin Forming,1,,Fin Forming and Cutting
BOM-R215 Fan Cowl-001,R215 Fan Cowl,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,R215 Fan Cowl,1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,Painting,1,,RA Painting
BOM-Extruded Bar for OC and RAD 3*7*1021-001,Extruded Bar for OC and RAD 3*7*1021,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,Aluminium Extruded Bar (ALU-STD-0043)(3*7),0.059,1,Kg,1,0.059,Kg,1,,0,Raw Materials Stores – TPL,,Bar Cutting,1,,Aluminium Bar Cutting
BOM-R215 External Fin For CAC 0.3*110*911-001,R215 External Fin For CAC 0.3*110*911,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,Aluminium Coil 0.3*110MM,0.322,1,Kg,1,0.322,Kg,1,,0,Raw Materials Stores – TPL,,Fin Forming,1,,Fin Forming and Cutting
BOM-R215 External Fin For CAC 0.2*110*911-001,R215 External Fin For CAC 0.2*110*911,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,Aluminium Coil 0.2*110,0.215,1,Kg,1,0.215,Kg,1,,0,Raw Materials Stores – TPL,,Fin Forming,1,,Fin Forming and Cutting
BOM-R215 RAD Core-001,R215 RAD Core,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,R215 RAD Core End Plate2.5X110X1021,2,0.77,Nos,1,2,Nos,1,BOM-R215 RAD Core End Plate2.5X110X1021-001,0,,,Core Assembly,1,,Core Fixing
,,,,,,,,,,,Extruded Bar for OC and RAD 3*7*1021,48,0.06,Nos,1,48,Nos,1,BOM-Extruded Bar for OC and RAD 3*7*1021-001,0,,,Core Brazing,1,,Brazing Furnace
,,,,,,,,,,,R215 Fin For OC 0.3*110*991,6,0.35,Nos,1,6,Nos,1,BOM-R215 Fin For OC 0.3*110*991-001,0,,,,,,
,,,,,,,,,,,R215 Fin For RAD 0.2*110*991,19,0.23,Nos,1,19,Nos,1,BOM-R215 Fin For RAD 0.2*110*991-001,0,,,,,,
,,,,,,,,,,,Spacer Bar 9.5×15×110,50,0.04,Nos,1,50,Nos,1,BOM-Spacer Bar 9.5×15×110-001,0,,,,,,
,,,,,,,,,,,R215 RAD Tube Sheet 0.6*110*1021,50,0.18,Nos,1,50,Nos,1,BOM-R215 RAD Tube Sheet 0.6*110*1021-001,0,,,,,,
,,,,,,,,,,,Turbulator 0.2*250*96.0,12,0.02,Nos,1,12,Nos,1,BOM-Turbulator 0.2*250*96.0-001,0,,,,,,
,,,,,,,,,,,Turbulator 0.2*300*96.0,72,0.03,Nos,1,72,Nos,1,BOM-Turbulator 0.2*300*96.0-001,0,,,,,,
BOM-R215 OC Core-001,R215 OC Core,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,R215 OC and RAD Core End Plate2.5X110X1021,1,0.77,Nos,1,1,Nos,1,BOM-R215 OC and RAD Core End Plate2.5X110X1021-001,0,,,Core Assembly,1,,Core Fixing
,,,,,,,,,,,Extruded Bar for OC and RAD 3*7*1021,78,0.06,Nos,1,78,Nos,1,BOM-Extruded Bar for OC and RAD 3*7*1021-001,0,,,Core Brazing,1,,Brazing Furnace
,,,,,,,,,,,R215 Fin For OC 0.3*110*991,27,0.35,Nos,1,27,Nos,1,BOM-R215 Fin For OC 0.3*110*991-001,0,,,,,,
,,,,,,,,,,,R215 OC Core End Plate 5X140X1021,1,2.3,Nos,1,1,Nos,1,BOM-R215 OC Core End Plate 5X140X1021-001,0,,,,,,
,,,,,,,,,,,Spacer Bar 9.5×15×110,54,0.04,Nos,1,54,Nos,1,BOM-Spacer Bar 9.5×15×110-001,0,,,,,,
,,,,,,,,,,,R215 OC Tube Sheet 0.7*110*1021,54,0.22,Nos,1,54,Nos,1,BOM-R215 OC Tube Sheet 0.7*110*1021-001,0,,,,,,
,,,,,,,,,,,Turbulator 0.3*250*44.5,26,0.02,Nos,1,26,Nos,1,BOM-Turbulator 0.3*250*44.5-001,0,,,,,,
,,,,,,,,,,,Turbulator 0.3*300*44.5,156,0.02,Nos,1,156,Nos,1,BOM-Turbulator 0.3*300*44.5-001,0,,,,,,
BOM-R215 CAC Core-001,R215 CAC Core,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,R215 CAC Core End Plate 2.5X110X941,1,0.71,Nos,1,1,Nos,1,BOM-R215 CAC Core End Plate 2.5X110X941-001,0,,,Core Assembly,1,,Core Fixing
,,,,,,,,,,,R215 CAC Core End Plate 5X140X941,1,2.12,Nos,1,1,Nos,1,BOM-R215 CAC Core End Plate 5X140X941-001,0,,,Core Brazing,1,,Brazing Furnace
,,,,,,,,,,,R215 External Fin For CAC 0.2*110*911,6,0.22,Nos,1,6,Nos,1,BOM-R215 External Fin For CAC 0.2*110*911-001,0,,,,,,
,,,,,,,,,,,R215 External Fin For CAC 0.3*110*911,4,0.32,Nos,1,4,Nos,1,BOM-R215 External Fin For CAC 0.3*110*911-001,0,,,,,,
,,,,,,,,,,,Internal Fin For CAC 0.2*140*90,9,0.02,Nos,1,9,Nos,1,BOM-Internal Fin For CAC 0.2*140*90-001,0,,,,,,
,,,,,,,,,,,Internal Fin For CAC 0.2*200*90,36,0.03,Nos,1,36,Nos,1,BOM-Internal Fin For CAC 0.2*200*90-001,0,,,,,,
,,,,,,,,,,,Spacer Bar 9.5×15×110,20,0.04,Nos,1,20,Nos,1,BOM-Spacer Bar 9.5×15×110-001,0,,,,,,
,,,,,,,,,,,R215 Spacer Bar for CAC 8*10*941,18,0.21,Nos,1,18,Nos,1,BOM-R215 Spacer Bar for CAC 8*10*941-001,0,,,,,,
,,,,,,,,,,,R215 Tube Sheet For CAC 0.6*110*941,20,0.17,Nos,1,20,Nos,1,BOM-R215 Tube Sheet For CAC 0.6*110*941-001,0,,,,,,
BOM-Condenser Mounting Block 31X19X25-001,Condenser Mounting Block 31X19X25,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,Aluminium Extrusion No 0.0318C-ALU-2-0033 (31*19*25),0.393,1,Kg,1,0.393,Kg,1,,0,Raw Materials Stores – TPL,,Size Cutting,1,,Accurate Cutting
,,,,,,,,,,,Helicoil Insert M8 X 1.25 X 16Mm (2 D),1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,Drilling & Boring,1,,"Drilling, Boring and Milling"
,,,,,,,,,,,,,,,,,,,,,,,Helicoil Insert,1,,Helicoil & Tapping
BOM-R215 CAC Top Tank Sub Assy-001,R215 CAC Top Tank Sub Assy,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001,2,0.148333333,Nos,1,2,Nos,1,BOM-Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001-001,0,,,Tank Assembly,1,,Mig Welding
,,,,,,,,,,,R215 CAC Inlet and Outlet Pipe,1,0.25,Nos,1,1,Nos,1,BOM-R215 CAC Inlet and Outlet Pipe-001,0,,,,,,
,,,,,,,,,,,R215 CAC Top Tank,1,5.81,Nos,1,1,Nos,1,BOM-R215 CAC Top Tank-001,0,,,,,,
BOM-R215 CAC Top Tank-001,R215 CAC Top Tank,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,R215 CAC Top and Bottom Tank 110x113x7.5x186LG,1,1.81,Nos,1,1,Nos,1,BOM-R215 CAC Top and Bottom Tank 110x113x7.5x186LG-001,0,,,Drilling & Boring,1,,"Drilling, Boring and Milling"
,,,,,,,,,,,Helicoil Insert M10 X 1.5 X 15 Mm,4,1,Nos,1,4,Nos,1,,0,BOF Stores – TPL,,Helicoil Insert,1,,Helicoil & Tapping
BOM-R215 CAC Top and Bottom Tank 110x113x7.5x186LG-001,R215 CAC Top and Bottom Tank 110x113x7.5x186LG,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,Aluminium Extrusion No 0239C-ALU-2-0001 110(H)*113(W)*7.5(T)*186Kg,1.81,1,Kg,1,1.81,Kg,1,,0,Raw Materials Stores – TPL,,Size Cutting,1,,Accurate Cutting
BOM-R215 CAC Inlet and Outlet Pipe-001,R215 CAC Inlet and Outlet Pipe,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,Aluminium Pipe ⌀ 76.0*3MM Thk,0.253,1,Kg,1,0.253,Kg,1,,0,Raw Materials Stores – TPL,,Pipe Cutting,1,,Weld_Manual Cutting
BOM-R215 CAC Core End Plate 5X165X941-001,R215 CAC Core End Plate 5X165X941,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,Aluminium Sheet 5MM Thk,2.12,1,Kg,1,2.12,Kg,1,,0,Raw Materials Stores – TPL,,Shearing,1,,Shearing Machine
BOM-R215 CAC Core End Plate 5X140X941-001,R215 CAC Core End Plate 5X140X941,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,R215 CAC Core End Plate 5X165X941,1,2.12,Nos,1,1,Nos,1,BOM-R215 CAC Core End Plate 5X165X941-001,0,,,Folding,1,,Folding
,,,,,,,,,,,,,,,,,,,,,,,Sr. No. Punching,1,,Sr. No. Punching
BOM-R215 CAC Core End Plate 2.5X110X941-001,R215 CAC Core End Plate 2.5X110X941,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,Aluminium Sheet 2.5MM Thk Without Cladded,0.706,1,Kg,1,0.706,Kg,1,,0,Raw Materials Stores – TPL,,Shearing,1,,Shearing Machine
BOM-R215 Bottom Flyscreen Wire Mash 903X475-001,R215 Bottom Flyscreen Wire Mash 903X475,Teksons Pvt Ltd,1,WIP-RA - TPL,INR,1,1,Work Order,1,,MS,0.282,1,Kg,1,0.282,Kg,1,,0,Raw Materials Stores – TPL,,Rolling & Cutting,1,,Manual Rolling and Cutting
BOM-R215 Bottom Flyscreen Center Plate 453X10X2-001,R215 Bottom Flyscreen Center Plate 453X10X2,Teksons Pvt Ltd,1,WIP-RA - TPL,INR,1,1,Work Order,1,,MS - 2MM Thk,0.071,1,Kg,1,0.071,Kg,1,,0,Raw Materials Stores – TPL,,Shearing,1,,Shearing Machine
BOM-R215 Bottom Flyscreen Assembly-001,R215 Bottom Flyscreen Assembly,Teksons Pvt Ltd,1,WIP-RA - TPL,INR,1,1,Work Order,1,,R215 Bottom Flyscreen Wire Mash 903X475,1,0.28,Nos,1,1,Nos,1,BOM-R215 Bottom Flyscreen Wire Mash 903X475-001,0,,,Assembly,1,,RA Assembly
,,,,,,,,,,,U Piece Angle-1 for Flyscreen - 910(L)*15(W)*7(T),2,1,Nos,1,2,Nos,1,,0,BOF Stores – TPL,,Painting,1,,RA Painting
,,,,,,,,,,,U Piece Angle-2 for Flyscreen - 529(W)*15(H)*7(T),2,1,Nos,1,2,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,R215 Bottom Flyscreen Center Plate 453X10X2,2,0.07,Nos,1,2,Nos,1,BOM-R215 Bottom Flyscreen Center Plate 453X10X2-001,0,,,,,,
,,,,,,,,,,,R215 Top and Bottom Flyscreen Mounting Plate 35X30X2,4,0.02,Nos,1,4,Nos,1,BOM-R215 Top and Bottom Flyscreen Mounting Plate 35X30X2-001,0,,,,,,
BOM-R215 Bottom Cover Assembly-001,R215 Bottom Cover Assembly,Teksons Pvt Ltd,1,WIP-RA - TPL,INR,1,1,Work Order,1,,R215 Bottom Cover Assembly,1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,Painting,1,,RA Painting
