"ID","Item","Company","Quantity","Target FG Warehouse","With Operations","Item Code (Items)","Qty (Items)","UOM (Items)","Conversion Factor (Items)","Source Warehouse (Items)","Item operation (Items)","Stock UOM (Items)","Operation (Operations)","Operation Time (Operations)","Workstation (Operations)","Workstation Type (Operations)"
"BOM-R215 CAC Top Tank-001","R215 CAC Top Tank","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"R215 CAC Top and Bottom Tank 110x113x7.5x186LG",1.0,"Nos",1.0,"WIP-CNC - TPL","Drilling & Boring","Nos","Drilling & Boring",1.0,"","Drilling, Boring and Milling"
"","","","","","","Helicoil Insert M10 X 1.5 X 15 Mm",4.0,"Nos",1.0,"BOF Stores - TPL","Helicoil Insert","Nos","Helicoil Insert",1.0,"","Helicoil & Tapping"
"BOM-R215 CAC Top Tank Sub Assy-001","R215 CAC Top Tank Sub Assy","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001",2.0,"Nos",1.0,"WIP-RP - TPL","Tank Assembly","Nos","Tank Assembly",1.0,"","Mig Welding"
"","","","","","","R215 CAC Inlet and Outlet Pipe",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank Assembly","Nos","","","",""
"","","","","","","R215 CAC Top Tank",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank Assembly","Nos","","","",""
"BOM-Condenser Mounting Block 31X19X25-001","Condenser Mounting Block 31X19X25","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"Aluminium Extrusion No 0.0318C-ALU-2-0033 (31*19*25)",0.393,"Kg",1.0,"Raw Material Stores - TPL","Size Cutting","Kg","Size Cutting",1.0,"","Accurate Cutting"
"","","","","","","Helicoil Insert M8 X 1.25 X 16Mm (2 D)",1.0,"Nos",1.0,"BOF Stores - TPL","Helicoil Insert","Nos","Drilling & Boring",1.0,"","Drilling, Boring and Milling"
"","","","","","","","","","","","","","Helicoil Insert",1.0,"","Helicoil & Tapping"
"BOM-R215 CAC Core-001","R215 CAC Core","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"R215 CAC Core End Plate 2.5X110X941",1.0,"Nos",1.0,"WIP-W - TPL","Core Assembly","Nos","Core Assembly",1.0,"","Core Fixing"
"","","","","","","R215 CAC Core End Plate 5X140X941",1.0,"Nos",1.0,"WIP-W - TPL","Core Assembly","Nos","Core Brazing",1.0,"","Brazing Furnace"
"","","","","","","R215 External Fin For CAC 0.2*110*911",6.0,"Nos",1.0,"WIP-Ralu In - TPL","Core Assembly","Nos","","","",""
"","","","","","","R215 External Fin For CAC 0.3*110*911",4.0,"Nos",1.0,"WIP-Ralu In - TPL","Core Assembly","Nos","","","",""
"","","","","","","Internal Fin For CAC 0.2*140*90",9.0,"Nos",1.0,"WIP-Ralu In - TPL","Core Assembly","Nos","","","",""
"","","","","","","Internal Fin For CAC 0.2*200*90",36.0,"Nos",1.0,"WIP-Ralu In - TPL","Core Assembly","Nos","","","",""
"","","","","","","Spacer Bar 9.5×15×110",20.0,"Nos",1.0,"WIP-Ralu In - TPL","Core Assembly","Nos","","","",""
"","","","","","","R215 Spacer Bar for CAC 8*10*941",18.0,"Nos",1.0,"WIP-Ralu In - TPL","Core Assembly","Nos","","","",""
"","","","","","","R215 Tube Sheet For CAC 0.6*110*941",20.0,"Nos",1.0,"WIP-Ralu In - TPL","Core Assembly","Nos","","","",""
"BOM-R215 OC Core-001","R215 OC Core","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"R215 OC and RAD Core End Plate2.5X110X1021",1.0,"Nos",1.0,"WIP-W - TPL","Core Assembly","Nos","Core Assembly",1.0,"","Core Fixing"
"","","","","","","Extruded Bar for OC and RAD 3*7*1021",78.0,"Nos",1.0,"WIP-Ralu In - TPL","Core Assembly","Nos","Core Brazing",1.0,"","Brazing Furnace"
"","","","","","","R215 Fin For OC 0.3*110*991",27.0,"Nos",1.0,"WIP-Ralu In - TPL","Core Assembly","Nos","","","",""
"","","","","","","R215 OC Core End Plate 5X140X1021",1.0,"Nos",1.0,"WIP-RP - TPL","Core Assembly","Nos","","","",""
"","","","","","","Spacer Bar 9.5×15×110",54.0,"Nos",1.0,"WIP-Ralu In - TPL","Core Assembly","Nos","","","",""
"","","","","","","R215 OC Tube Sheet 0.7*110*1021",54.0,"Nos",1.0,"WIP-Ralu In - TPL","Core Assembly","Nos","","","",""
"","","","","","","Turbulator 0.3*250*44.5",26.0,"Nos",1.0,"WIP-Ralu In - TPL","Core Assembly","Nos","","","",""
"","","","","","","Turbulator 0.3*300*44.5",156.0,"Nos",1.0,"WIP-Ralu In - TPL","Core Assembly","Nos","","","",""
"BOM-R215 RAD Core-001","R215 RAD Core","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"R215 RAD Core End Plate2.5X110X1021",2.0,"Nos",1.0,"WIP-RP - TPL","Core Assembly","Nos","Core Assembly",1.0,"","Core Fixing"
"","","","","","","Extruded Bar for OC and RAD 3*7*1021",48.0,"Nos",1.0,"WIP-Ralu In - TPL","Core Assembly","Nos","Core Brazing",1.0,"","Brazing Furnace"
"","","","","","","R215 Fin For OC 0.3*110*991",6.0,"Nos",1.0,"WIP-Ralu In - TPL","Core Assembly","Nos","","","",""
