bom_name,item_code,item_name,quantity,company,creation,total_items,total_operations,bom_items_json,operations_json
BOM-R215 Tube Sheet For CAC 0.6*110*941-001,R215 Tube Sheet For CAC 0.6*110*941,R215 Tube Sheet For CAC 0.6*110*941,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.503895,1,1,"[{""item_code"": ""Aluminium Coil 0.6*110MM"", ""item_name"": ""Aluminium Coil 0.6*110MM"", ""qty"": 0.17, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Tube Sheet Cutting"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215 Top Flyscreen Wire Mash 903X554-001,R215 Top Flyscreen Wire Mash 903X554,R215 Top Flyscreen Wire Mesh 903X554,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.476682,1,1,"[{""item_code"": ""MS"", ""item_name"": ""MS"", ""qty"": 0.33, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Rolling & Cutting"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215 Top Flyscreen Covering Plate 910X30X1-001,R215 Top Flyscreen Covering Plate 910X30X1,R215 Top Flyscreen Covering Plate 910X30X1,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.449007,1,1,"[{""item_code"": ""MS \u2013 1 MM Thk"", ""item_name"": ""MS \u2013 1 MM Thk"", ""qty"": 0.214, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Shearing"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215 Top Flyscreen Center Plate 533X102-001,R215 Top Flyscreen Center Plate 533X102,R215 Top Flyscreen Center Plate 533X102,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.419792,1,1,"[{""item_code"": ""MS \u2013 2MM Thk"", ""item_name"": ""MS \u2013 2MM Thk"", ""qty"": 0.084, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Shearing"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215 Top Flyscreen Assembly-001,R215 Top Flyscreen Assembly,R215 Top Flyscreen Assembly,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.357375,5,2,"[{""item_code"": ""R215 Top Flyscreen Wire Mash 903X554"", ""item_name"": ""R215 Top Flyscreen Wire Mesh 903X554"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""U Piece Angle-1 for Flyscreen - 910(L)*15(W)*7(T)"", ""item_name"": ""U Piece Angle-1 for Flyscreen - 910(L)*15(W)*7(T)"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""U Piece Angle-2 for Flyscreen - 529(W)*15(H)*7(T)"", ""item_name"": ""U Piece Angle-2 for Flyscreen - 529(W)*15(H)*7(T)"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 Top and Bottom Flyscreen Mounting Plate 35X30X2"", ""item_name"": ""R215 Top and Bottom Flyscreen Mounting Plate 35X30X2"", ""qty"": 4.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 Top Flyscreen Covering Plate 910X30X1"", ""item_name"": ""R215 Top Flyscreen Covering Plate 910X30X1"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Assembly"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}, {""sequence_id"": 2, ""operation"": ""Painting"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215 Top Cover Assembly-001,R215 Top Cover Assembly,R215 Top Cover Assembly,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.328717,1,1,"[{""item_code"": ""R215 Top Cover Assembly"", ""item_name"": ""R215 Top Cover Assembly"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Painting"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215 Top and Bottom Flyscreen Mounting Plate 35X30X2-001,R215 Top and Bottom Flyscreen Mounting Plate 35X30X2,R215 Top and Bottom Flyscreen Mounting Plate 35X30X2,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.297651,1,2,"[{""item_code"": ""MS \u2013 2MM Thk"", ""item_name"": ""MS \u2013 2MM Thk"", ""qty"": 0.016, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Shearing"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}, {""sequence_id"": 2, ""operation"": ""Punching"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Tank End Plate For Extrusion No 0073C-ALU-2-0008-001,Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008,Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008,9.0,Teksons Pvt Ltd,2026-07-10 18:12:03.239377,1,1,"[{""item_code"": ""Aluminium Plate 70*8*800MM"", ""item_name"": ""Aluminium Plate 70*8*800MM"", ""qty"": 1.223, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Blanking"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Tank End Plate for Extrusion No 0239C-ALU-2-0001-001,Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001,Tank End Plate for Extrusion No 0239C-ALU-2-0001,6.0,Teksons Pvt Ltd,2026-07-10 18:12:03.207498,1,1,"[{""item_code"": ""Tank End Plate 110\u00d75*595MM"", ""item_name"": ""Tank End Plate 110\u00d75*595MM"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Blanking"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Tank End Plate 110×5*595MM-001,Tank End Plate 110×5*595MM,Tank End Plate 110×5*595MM,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.177083,1,1,"[{""item_code"": ""Aluminium Plate 110*5*2250MM"", ""item_name"": ""Aluminium Plate 110*5*2250MM"", ""qty"": 0.894, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Size Cutting"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Stay Block-001,Stay Block 50X25X150,Stay Block 50X25X150,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.140525,2,2,"[{""item_code"": ""Aluminium Extrusion No 0.0318C-ALU-2-0034 (50*25*150)"", ""item_name"": ""Aluminium Extrusion No 0.0318C-ALU-2-0034 (50*25*150)"", ""qty"": 0.512, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Helicoil Insert M 12 X 1.75 X 18Mm"", ""item_name"": ""Helicoil Insert M 12 X 1.75 X 18Mm"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 1}]","[{""sequence_id"": 1, ""operation"": ""Size Cutting"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}, {""sequence_id"": 2, ""operation"": ""Helicoil Insert"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215 Spacer Bar for CAC 8*10*941-001,R215 Spacer Bar for CAC 8*10*941,R215 Spacer Bar for CAC 8*10*941,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.109199,1,1,"[{""item_code"": ""Aluminium Spacer Bar ALU-STD-0028 (8*10)"", ""item_name"": ""Aluminium Spacer Bar ALU-STD-0028 (8*10)"", ""qty"": 0.206, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Bar Cutting"", ""workstation"": ""Bar_Circular Saw Machine"", ""plant_floor"": ""Ralu In"", ""wip_warehouse"": ""WIP-Ralu In - TPL"", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Radiator Drain Pipe-001,R215 Radiator Drain Pipe Od∅10 X 17 Lgx 3,Radiator Drain Pipe,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.079814,1,1,"[{""item_code"": ""Aluminium Pipe OD\u230010*ID\u23006*17L"", ""item_name"": ""Aluminium Pipe OD\u230010*ID\u23006*17L"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Cutting"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Radiator-001,R215 RAD,Radiator,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.040982,6,3,"[{""item_code"": ""R215 RAD Core"", ""item_name"": ""R215 RAD Core"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Drain Plug"", ""item_name"": ""Drain Plug"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 RAD Bottom Tank Sub Assy"", ""item_name"": ""Rad Bottom Tank Sub Assy"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 RAD Top Tank Sub Assy"", ""item_name"": ""RAD Top Tank Sub Assy"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""RAD Drain Bush"", ""item_name"": ""RAD Drain Bush"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 Radiator Drain Pipe Od\u220510 X 17 Lgx 3"", ""item_name"": ""Radiator Drain Pipe"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Tank To Core"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}, {""sequence_id"": 2, ""operation"": ""Angle Assembly"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}, {""sequence_id"": 3, ""operation"": ""Leak Testing"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-RAD Top Tank Sub Assy-001,R215 RAD Top Tank Sub Assy,RAD Top Tank Sub Assy,1.0,Teksons Pvt Ltd,2026-07-10 18:12:02.977972,5,1,"[{""item_code"": ""Tank End Plate 97*62*5"", ""item_name"": ""Tank End Plate 97*62*5"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Filler Neck 14PSI"", ""item_name"": ""Filler Neck 14PSI"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Filler Neck Over Flow Pipe"", ""item_name"": ""Filler Neck Over Flow Pipe"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 RAD Inlet and Outlet Pipe"", ""item_name"": ""RAD Inlet and Outlet Pipe"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 RAD Top Tank"", ""item_name"": ""RAD Top Tank"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Ralu Weld Operation"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-RAD Top Tank-001,R215 RAD Top Tank,RAD Top Tank,1.0,Teksons Pvt Ltd,2026-07-10 18:12:02.938456,2,1,"[{""item_code"": ""Helicoil Insert M10 X 1.5 X 15 Mm"", ""item_name"": ""Helicoil Insert"", ""qty"": 4.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 RAD Top and Bottom Tank"", ""item_name"": ""RAD Top & Bottom Tank"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Helicoil Insert"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-RAD Top & Bottom Tank-001,R215 RAD Top and Bottom Tank,RAD Top & Bottom Tank,1.0,Teksons Pvt Ltd,2026-07-10 18:12:02.911340,1,1,"[{""item_code"": ""Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG"", ""item_name"": ""Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""CNC Operation"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-RAD Inlet and Outlet Pipe-001,R215 RAD Inlet and Outlet Pipe,RAD Inlet and Outlet Pipe,1.0,Teksons Pvt Ltd,2026-07-10 18:12:02.856452,1,1,"[{""item_code"": ""Aluminium Pipe 48.6*5MM Thk"", ""item_name"": ""Aluminium Pipe 48.6*5MM Thk"", ""qty"": 0.18, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Cutting"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Rad Bottom Tank Sub Assy-001,R215 RAD Bottom Tank Sub Assy,Rad Bottom Tank Sub Assy,1.0,Teksons Pvt Ltd,2026-07-10 18:12:02.807414,3,1,"[{""item_code"": ""R215 RAD Bottom Tank"", ""item_name"": ""Rad Bottom Tank"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 RAD Inlet and Outlet Pipe"", ""item_name"": ""RAD Inlet and Outlet Pipe"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Tank End Plate 97*62*5"", ""item_name"": ""Tank End Plate 97*62*5"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Ralu Weld Operation"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Rad Bottom Tank-001,R215 RAD Bottom Tank,Rad Bottom Tank,1.0,Teksons Pvt Ltd,2026-07-10 18:12:02.768532,2,1,"[{""item_code"": ""R215 RAD Top and Bottom Tank"", ""item_name"": ""RAD Top & Bottom Tank"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Helicoil Insert M10 X 1.5 X 15 Mm"", ""item_name"": ""Helicoil Insert"", ""qty"": 4.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 2, ""operation"": ""Helicoil Insert"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215 OC and RAD Core End Plate2.5X110X1021-001,R215 OC and RAD Core End Plate2.5X110X1021,R215 OC and RAD Core End Plate2.5X110X1021,1.0,Teksons Pvt Ltd,2026-07-10 18:12:02.741149,1,1,"[{""item_code"": ""Aluminium Sheet 2.5MM Thk Without Cladded"", ""item_name"": ""Aluminium Sheet 2.5MM Thk Without Cladded"", ""qty"": 0.767, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Shearing"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Oil Cooler-001,R215 OC,Oil Cooler,1.0,Teksons Pvt Ltd,2026-07-10 18:12:02.694336,8,3,"[{""item_code"": ""Drain Plug"", ""item_name"": ""Drain Plug"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 OC Core"", ""item_name"": ""R215 OC Core"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Rubber Seal"", ""item_name"": ""Rubber Seal"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 OC Bottom Tank Sub Assy"", ""item_name"": ""OC Bottom Tank Sub Assy"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 OC Top Tank Sub Assy"", ""item_name"": ""OC Top Tank Sub Assy"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""OC Inlet & Outlet Block 101X66X30"", ""item_name"": ""OC Inlet & Outlet Block 101X66X30"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Condenser Mounting Block 31X19X25"", ""item_name"": ""Condenser Mtg. Block 31X19X25"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Stay Block 50X25X150"", ""item_name"": ""Stay Block 50X25X150"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Tank To Core"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}, {""sequence_id"": 2, ""operation"": ""Angle Assembly"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}, {""sequence_id"": 3, ""operation"": ""Leak Testing"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-OC Top Tank Sub Assy-001,R215 OC Top Tank Sub Assy,OC Top Tank Sub Assy,1.0,Teksons Pvt Ltd,2026-07-10 18:12:02.653521,2,1,"[{""item_code"": ""Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008"", ""item_name"": ""Tank End Plate For Extrusion No 0073C-ALU-2-0008"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 OC Top Tank"", ""item_name"": ""R215 OC Top Tank"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Tank Assembly"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215 OC Top Tank-001,R215 OC Top Tank,R215 OC Top Tank,1.0,Teksons Pvt Ltd,2026-07-10 18:12:02.613296,2,1,"[{""item_code"": ""Helicoil Insert M10 X 1.5 X 15 Mm"", ""item_name"": ""Helicoil Insert"", ""qty"": 6.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 OC Top & Bottom Tank 70x113x7.5x377LG"", ""item_name"": ""R215 OC Top & Bottom Tank 70x113x7.5x377LG"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 2, ""operation"": ""Helicoil Insert"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215 OC Top & Bottom Tank 70x113x7.5x377LG-001,R215 OC Top & Bottom Tank 70x113x7.5x377LG,R215 OC Top & Bottom Tank 70x113x7.5x377LG,1.0,Teksons Pvt Ltd,2026-07-10 18:12:02.585138,1,2,"[{""item_code"": ""Aluminium Extrusion No 0073C-ALU-2-0008 70(H)*113(W)*7.5(T)*377LG"", ""item_name"": ""Aluminium Extrusion No 0073C-ALU-2-0008 70(H)*113(W)*7.5(T)*377LG"", ""qty"": 3.11, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Size Cutting"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}, {""sequence_id"": 2, ""operation"": ""Drilling & Boring"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-OC Let Block-001,OC Inlet & Outlet Block 101X66X30,OC Inlet & Outlet Block 101X66X33,1.0,Teksons Pvt Ltd,2026-07-10 18:12:02.455731,2,2,"[{""item_code"": ""Aluminium Extrusion No 398C-ALU-2-0027 ( 101*66*33 )"", ""item_name"": ""Aluminium Extrusion No 398C-ALU-2-0027 ( 101*66*33 )"", ""qty"": 0.487, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Helicoil Insert M10 X 1.5 X 15 Mm"", ""item_name"": ""Helicoil Insert"", ""qty"": 4.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Size Cutting"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}, {""sequence_id"": 3, ""operation"": ""Helicoil Insert"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215 OC Core End Plate 5X165X1021-001,R215 OC Core End Plate 5X165X1021,R215 OC Core End Plate 5X165X1021,1.0,Teksons Pvt Ltd,2026-07-10 18:12:02.428100,1,1,"[{""item_code"": ""Aluminium Sheet 5MM Thk"", ""item_name"": ""Aluminium Sheet 5MM Thk"", ""qty"": 2.3, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Shearing"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215 OC Core End Plate 5X140X1021-001,R215 OC Core End Plate 5X140X1021,R215 OC Core End Plate 5X140X1021,1.0,Teksons Pvt Ltd,2026-07-10 18:12:02.395660,1,2,"[{""item_code"": ""R215 OC Core End Plate 5X165X1021"", ""item_name"": ""R215 OC Core End Plate 5X165X1021"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Folding"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}, {""sequence_id"": 2, ""operation"": ""Sr. No. Punching"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-OC Bottom Tank Sub Assy-001,R215 OC Bottom Tank Sub Assy,OC Bottom Tank Sub Assy,1.0,Teksons Pvt Ltd,2026-07-10 18:12:02.348508,3,1,"[{""item_code"": ""R215 OC Bottom Tank"", ""item_name"": ""R215 OC Bottom Tank"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""0261Oc-Alu-2-004"", ""item_name"": ""Aluminium Bush 6063 Hyundai 8"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 1}, {""item_code"": ""Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008"", ""item_name"": ""Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Tank Assembly"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215 OC Bottom Tank-001,R215 OC Bottom Tank,R215 OC Bottom Tank,1.0,Teksons Pvt Ltd,2026-07-10 18:12:02.305147,2,1,"[{""item_code"": ""R215 OC Top & Bottom Tank 70x113x7.5x377LG"", ""item_name"": ""R215 OC Top & Bottom Tank 70x113x7.5x377LG"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Helicoil Insert M10 X 1.5 X 15 Mm"", ""item_name"": ""Helicoil Insert"", ""qty"": 6.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 3, ""operation"": ""Helicoil Insert"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-LH – RH Condenser MTG BKT-001,R215 LH – RH Condenser MTG BKT,LH – RH Condenser MTG BKT,1.0,Teksons Pvt Ltd,2026-07-10 18:12:02.273957,1,1,"[{""item_code"": ""R215 LH \u2013 RH Condenser MTG BKT"", ""item_name"": ""LH \u2013 RH Condenser MTG BKT"", ""qty"": 1.0, ""uom"": ""Set"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Painting"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
