"ID","Item","Company","Quantity","Target FG Warehouse","Currency","Conversion Rate","Process Plan No","Item UOM","Is Active","Is Default","Allow Alternative Item","Set rate of sub-assembly item based on BOM","Project","Image","Rate Of Materials Based On","Price List","Price List Currency","Price List Exchange Rate","With Operations","Transfer Material Against","Routing","Finished Goods based Operating Cost","Operating Cost Per BOM Quantity","% Process Loss","Process Loss Qty","Operating Cost","Raw Material Cost","Scrap Material Cost","Operating Cost (Company Currency)","Raw Material Cost (Company Currency)","Scrap Material Cost(Company Currency)","Total Cost","Total Cost (Company Currency)","Item Name","Item Description","Has Variants","Quality Inspection Required","Quality Inspection Template","Show in Website","Route","Website Image","Thumbnail","Show Items","Show Operations","Website Description","BOM Creator","BOM Creator Item","Amended From","ID (Items)","Item Code (Items)","Qty (Items)","Rate (Items)","UOM (Items)","Allow Alternative Item (Items)","Amount (Items)","Amount (Company Currency) (Items)","Basic Rate (Company Currency) (Items)","BOM No (Items)","Conversion Factor (Items)","Do Not Explode (Items)","Has Variants (Items)","Image (Items)","Include Item In Manufacturing (Items)","Is Stock Item (Items)","Item Description (Items)","Item Name (Items)","Item operation (Items)","Original Item (Items)","Process Plan No (Items)","Qty Consumed Per Unit (Items)","Source Warehouse (Items)","Sourced by Supplier (Items)","Stock Qty (Items)","Stock UOM (Items)","ID (Operations)","Base Cost Per Unit (Operations)","Base Hour Rate(Company Currency) (Operations)","Batch Size (Operations)","Cost Per Unit (Operations)","Description (Operations)","Fixed Time (Operations)","Hour Rate (Operations)","Image (Operations)","Operating Cost (Operations)","Operating Cost(Company Currency) (Operations)","Operation (Operations)","Operation Time (Operations)","Process Plan No (Operations)","Quality Inspection Template (Operations)","Sequence ID (Operations)","Set Operating Cost Based On BOM Quantity (Operations)","Workstation (Operations)","Workstation Type (Operations)","ID (Scrap Items)","Amount (Scrap Items)","Basic Amount (Company Currency) (Scrap Items)","Basic Rate (Company Currency) (Scrap Items)","Item Code (Scrap Items)","Item Name (Scrap Items)","Qty (Scrap Items)","Rate (Scrap Items)","Stock UOM (Scrap Items)","ID (Exploded Items)","Amount (Exploded Items)","Description (Exploded Items)","Image (Exploded Items)","Include Item In Manufacturing (Exploded Items)","Item Code (Exploded Items)","Item Name (Exploded Items)","Operation (Exploded Items)","Qty Consumed Per Unit (Exploded Items)","Rate (Exploded Items)","Source Warehouse (Exploded Items)","Sourced by Supplier (Exploded Items)","Stock Qty (Exploded Items)","Stock UOM (Exploded Items)"
"BOM-R215 OC Bottom Tank-002","R215 OC Bottom Tank","Teksons Pvt Ltd",1.0,"","INR",1.0,"AL-PP-0398OC-F03","Nos",1,1,0,1,"","","Valuation Rate","Standard Buying","INR",1.0,1,"Work Order","",0,0.0,0.0,0.0,0.0,9.11,0.0,0.0,9.11,0.0,9.11,9.11,"R215 OC Bottom Tank","OC Bottom ",0,0,"",0,"bom-r215-oc-bottom-tank-002","","",0,1,"","","","","bmtetqiq35","R215 OC Top & Bottom Tank 70x113x7.5x377LG",1.0,3.11,"Nos",0,3.11,3.11,3.11,"BOM-R215 OC Top & Bottom Tank 70x113x7.5x377LG-001",1.0,0,0,"",1,1,"OC Top &amp; Bottom Tank","R215 OC Top & Bottom Tank 70x113x7.5x377LG","","","",1.0,"",0,1.0,"Nos","bmtlgtkr8n",0.0,0.0,1.0,0.0,"Helicoil Inserting",0,0.0,"",0.0,0.0,"Helicoil Insert",1.0,"","",1,0,"","Helicoil & Tapping","","","","","","","","","","bp87d337hv",3.11,"Aluminium Extrusion No 0073C-ALU-2-0008 70(H)*113(W)*7.5(T)*377LG","",1,"Aluminium Extrusion No 0073C-ALU-2-0008 70(H)*113(W)*7.5(T)*377LG","Aluminium Extrusion No 0073C-ALU-2-0008 70(H)*113(W)*7.5(T)*377LG","",3.11,1.0,"",0,3.11,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bmt3tg8jqc","Helicoil Insert M10 X 1.5 X 15 Mm",6.0,1.0,"Nos",0,6.0,6.0,1.0,"",1.0,0,0,"",1,1,"Helicoil Insert","Helicoil Insert","","","",6.0,"",0,6.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bp83oe5f7s",6.0,"Helicoil Insert","",1,"Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert","",6.0,1.0,"",0,6.0,"Nos"
"BOM-Spacer Bar 10x15x110-001","Spacer Bar 10x15x110","Teksons Pvt Ltd",1.0,"","INR",1.0,"","Nos",1,1,0,1,"","","Valuation Rate","Standard Buying","INR",1.0,1,"Work Order","",0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.04,0.04,"Spacer bar 10x15x110","Spacer bar 10x15x110",0,0,"",0,"bom-spacer-bar-10x15x110-001","","",0,0,"","","","","k7g530bimj","Spacer Bar 10 X 15 X 2115, Imported",0.045,1.0,"Kg",1,0.04,0.04,1.0,"",1.0,0,0,"",1,1,"Spacer Bar 10 X 15 X 2115, Imported","Spacer Bar 10 X 15 X 2115, Imported","","","",0.045,"",0,0.045,"Kg","k7ga1mth0h",0.0,0.0,1.0,0.0,"Bar Cutting",0,0.0,"",0.0,0.0,"Bar Cutting",1.0,"","",1,0,"Bar_Circular Saw Machine","Aluminium Bar Cutting","","","","","","","","","","k8vch1mbdg",0.045,"Spacer Bar 10 X 15 X 2115, Imported","",1,"Spacer Bar 10 X 15 X 2115, Imported","Spacer Bar 10 X 15 X 2115, Imported","",0.045,1.0,"",0,0.045,"Kg"
"BOM-R215 RAD Top and Bottom Tank-001","R215 RAD Top and Bottom Tank","Teksons Pvt Ltd",1.0,"","INR",1.0,"AL-PP-0398R-E01","Nos",1,1,0,1,"","","Valuation Rate","Standard Buying","INR",1.0,1,"Work Order","",0,0.0,0.0,0.0,0.0,2.45,0.0,0.0,2.45,0.0,2.45,2.45,"R215 RAD Top and Bottom Tank","RAD Top &amp; Bottom Tank",0,0,"",0,"bom-r215-rad-top-and-bottom-tank-001","","",0,1,"","","","","bo34qc6vau","Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG",1.0,2.45,"Nos",0,2.45,2.45,2.45,"",2.45,0,0,"",1,1,"Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG","Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG","","","",2.45,"",0,2.45,"Kg","bo3ahe00l0",0.0,0.0,1.0,0.0,"Size Cutting",0,0.0,"",0.0,0.0,"Size Cutting",1.0,"","",1,0,"","Accurate Cutting","","","","","","","","","","bq2a18mfdh",2.45,"Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG","",1,"Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG","Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG","",2.45,1.0,"",0,2.45,"Kg"
"BOM-Rad Bottom Tank Sub Assy-002","R215 RAD Bottom Tank Sub Assy","Teksons Pvt Ltd",1.0,"","INR",1.0,"AL-PP-0398R-H13","Nos",1,1,0,1,"","","Valuation Rate","Standard Buying","INR",1.0,1,"Work Order","",0,0.0,0.0,0.0,0.0,6.97,0.0,0.0,6.97,0.0,6.97,6.97,"Rad Bottom Tank Sub Assy","Rad Bottom Tank Sub Assy",0,0,"",0,"bom-rad-bottom-tank-sub-assy-002","","",0,1,"","","","","8n5q093jo7","R215 RAD Bottom Tank",1.0,6.45,"Nos",0,6.45,6.45,6.45,"BOM-Rad Bottom Tank-002",1.0,0,0,"",1,1,"Rad Bottom Tank","Rad Bottom Tank","","","",1.0,"",0,1.0,"Nos","8n59h80jk5",0.0,0.0,1.0,0.0,"Tank Assembly",0,0.0,"",0.0,0.0,"Tank Assembly",1.0,"","",1,0,"","Mig Welding","","","","","","","","","","e1ul3dv7d5",2.45,"Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG","",1,"Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG","Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG","",2.45,1.0,"",0,2.45,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8n5qt2ssc2","R215 RAD Inlet and Outlet Pipe",1.0,0.18,"Nos",0,0.18,0.18,0.18,"BOM-RAD Inlet and Outlet Pipe-001",1.0,0,0,"",1,1,"RAD Inlet and Outlet Pipe","RAD Inlet and Outlet Pipe","","","",1.0,"",0,1.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e1uc30r20m",0.18,"Aluminium Pipe 48.6*5MM Thk","",1,"Aluminium Pipe 48.6*5MM Thk","Aluminium Pipe 48.6*5MM Thk","",0.18,1.0,"",0,0.18,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8n5ibe1ae7","Tank End Plate 97*62*5",2.0,0.166666667,"Nos",0,0.34,0.34,0.166666667,"BOM-Tank End Plate 97*62*5-001",1.0,0,0,"",1,1,"Tank End Plate 97*62*5","Tank End Plate 97*62*5","","","",2.0,"",0,2.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e1ungrui64",4.0,"Helicoil Insert","",1,"Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert","",4.0,1.0,"",0,4.0,"Nos"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e1uamfr5nb",0.333333333,"Tank end plate for Extrusion no 0253OC-ALU-2-0005","",1,"Tank End Plate 70*5*595","Tank End Plate 70*5*595","",0.333333333,1.0,"",0,0.333333333,"Nos"
"BOM-Rad Bottom Tank-002","R215 RAD Bottom Tank","Teksons Pvt Ltd",1.0,"","INR",1.0,"AL-PP-0398R-F03","Nos",1,1,0,1,"","","Valuation Rate","Standard Buying","INR",1.0,1,"Work Order","",0,0.0,0.0,0.0,0.0,6.45,0.0,0.0,6.45,0.0,6.45,6.45,"Rad Bottom Tank","Rad Bottom Tank",0,0,"",0,"bom-rad-bottom-tank-002","","",0,1,"","","","","7h03i7pe31","R215 RAD Top and Bottom Tank",1.0,2.45,"Nos",0,2.45,2.45,2.45,"BOM-R215 RAD Top and Bottom Tank-001",1.0,0,0,"",1,1,"RAD Top &amp; Bottom Tank","RAD Top & Bottom Tank","","","",1.0,"",0,1.0,"Nos","7h0hrkaupg",0.0,0.0,1.0,0.0,"Helicoil Inserting",0,0.0,"",0.0,0.0,"Helicoil Insert",1.0,"","",1,0,"","Helicoil & Tapping","","","","","","","","","","e1ui47bmpj",2.45,"Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG","",1,"Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG","Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG","",2.45,1.0,"",0,2.45,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7h0a2aea3m","Helicoil Insert M10 X 1.5 X 15 Mm",4.0,1.0,"Nos",0,4.0,4.0,1.0,"",1.0,0,0,"",1,1,"Helicoil Insert","Helicoil Insert","","","",4.0,"",0,4.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e1ukrpp59u",4.0,"Helicoil Insert","",1,"Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert","",4.0,1.0,"",0,4.0,"Nos"
