"ID","Item","Company","Quantity","Target FG Warehouse","Currency","Conversion Rate","Process Plan No","Item UOM","Is Active","Is Default","Allow Alternative Item","Set rate of sub-assembly item based on BOM","Project","Image","Rate Of Materials Based On","Price List","Price List Currency","Price List Exchange Rate","With Operations","Transfer Material Against","Routing","Finished Goods based Operating Cost","Operating Cost Per BOM Quantity","% Process Loss","Process Loss Qty","Operating Cost","Raw Material Cost","Scrap Material Cost","Operating Cost (Company Currency)","Raw Material Cost (Company Currency)","Scrap Material Cost(Company Currency)","Total Cost","Total Cost (Company Currency)","Item Name","Item Description","Has Variants","Quality Inspection Required","Quality Inspection Template","Show in Website","Route","Website Image","Thumbnail","Show Items","Show Operations","Website Description","BOM Creator","BOM Creator Item","Amended From","ID (Items)","Item Code (Items)","Qty (Items)","Rate (Items)","UOM (Items)","Allow Alternative Item (Items)","Amount (Items)","Amount (Company Currency) (Items)","Basic Rate (Company Currency) (Items)","BOM No (Items)","Conversion Factor (Items)","Do Not Explode (Items)","Has Variants (Items)","Image (Items)","Include Item In Manufacturing (Items)","Is Stock Item (Items)","Item Description (Items)","Item Name (Items)","Item operation (Items)","Original Item (Items)","Process Plan No (Items)","Qty Consumed Per Unit (Items)","Source Warehouse (Items)","Sourced by Supplier (Items)","Stock Qty (Items)","Stock UOM (Items)","ID (Operations)","Base Cost Per Unit (Operations)","Base Hour Rate(Company Currency) (Operations)","Batch Size (Operations)","Cost Per Unit (Operations)","Description (Operations)","Fixed Time (Operations)","Hour Rate (Operations)","Image (Operations)","Operating Cost (Operations)","Operating Cost(Company Currency) (Operations)","Operation (Operations)","Operation Time (Operations)","Process Plan No (Operations)","Quality Inspection Template (Operations)","Sequence ID (Operations)","Set Operating Cost Based On BOM Quantity (Operations)","Workstation (Operations)","Workstation Type (Operations)","ID (Scrap Items)","Amount (Scrap Items)","Basic Amount (Company Currency) (Scrap Items)","Basic Rate (Company Currency) (Scrap Items)","Item Code (Scrap Items)","Item Name (Scrap Items)","Qty (Scrap Items)","Rate (Scrap Items)","Stock UOM (Scrap Items)","ID (Exploded Items)","Amount (Exploded Items)","Description (Exploded Items)","Image (Exploded Items)","Include Item In Manufacturing (Exploded Items)","Item Code (Exploded Items)","Item Name (Exploded Items)","Operation (Exploded Items)","Qty Consumed Per Unit (Exploded Items)","Rate (Exploded Items)","Source Warehouse (Exploded Items)","Sourced by Supplier (Exploded Items)","Stock Qty (Exploded Items)","Stock UOM (Exploded Items)"
"BOM-Tank End Plate 97*62*5-001","Tank End Plate 97*62*5","Teksons Pvt Ltd",6.0,"","INR",1.0,"","Nos",1,1,0,1,"","","Valuation Rate","Standard Buying","INR",1.0,1,"Work Order","",0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,"Tank End Plate 97*62*5","Tank End Plate 97*62*5",0,0,"",0,"bom-tank-end-plate-97*62*5-001","","",0,0,"","","","","37vdoccagn","Tank End Plate 70*5*595",1.0,1.0,"Nos",0,1.0,1.0,1.0,"",1.0,0,0,"",1,1,"Tank end plate for Extrusion no 0253OC-ALU-2-0005","Tank End Plate 70*5*595","","","",0.166666667,"",0,1.0,"Nos","37vkoec1hm",0.0,0.0,1.0,0.0,"Blanking",0,0.0,"",0.0,0.0,"Blanking",1.0,"","",1,0,"","Corner Cutting, Punching, Folding and Blanking","","","","","","","","","","3b011gduoo",1.0,"Tank end plate for Extrusion no 0253OC-ALU-2-0005","",1,"Tank End Plate 70*5*595","Tank End Plate 70*5*595","",0.166666667,1.0,"",0,1.0,"Nos"
"BOM-R215 RAD Core End Plate2.5X110X1021-001","R215 RAD Core End Plate2.5X110X1021","Teksons Pvt Ltd",1.0,"","INR",1.0,"","Nos",1,1,0,1,"","","Valuation Rate","Standard Buying","INR",1.0,1,"Work Order","",0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.77,0.0,0.77,0.77,"R215 RAD Core End Plate2.5X110X1021","R215 RAD Core End Plate2.5X110X1021",0,0,"",0,"bom-r215-rad-core-end-plate2.5x110x1021-001","","",0,0,"","","","","8u6e1nthh5","R215 OC and RAD Core End Plate2.5X110X1021",1.0,0.77,"Nos",0,0.77,0.77,0.77,"BOM-R215 OC and RAD Core End Plate2.5X110X1021-001",1.0,0,0,"",1,1,"R215 Core End Plate For OC &amp; RAD 2.5X110X1021","R215 OC and RAD Core End Plate2.5X110X1021","","","",1.0,"",0,1.0,"Nos","95vr269a1s",0.0,0.0,1.0,0.0,"Sr. No. Punching",0,0.0,"",0.0,0.0,"Sr. No. Punching",1.0,"","",1,0,"","Sr. No. Punching","","","","","","","","","","96puvu43jt",0.767,"Aluminium Sheet 2.5MM Thk Without Cladded","",1,"Aluminium Sheet 2.5MM Thk Without Cladded","Aluminium Sheet 2.5MM Thk Without Cladded","",0.767,1.0,"",0,0.767,"Kg"
"BOM-R215 OC Core End Plate 5X140X1021-002","R215 OC Core End Plate 5X140X1021","Teksons Pvt Ltd",1.0,"","INR",1.0,"AL-PP-0398OC-C13","Nos",1,1,0,1,"","","Valuation Rate","Standard Buying","INR",1.0,1,"Work Order","",0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,2.3,0.0,2.3,2.3,"R215 OC Core End Plate 5X140X1021","OC Core End Plate 5*140*1021",0,0,"",0,"bom-r215-oc-core-end-plate-5x140x1021-002","","",0,1,"","","","","6ro76vausi","R215 OC Core End Plate 5X165X1021",1.0,2.3,"Nos",0,2.3,2.3,2.3,"BOM-R215 OC Core End Plate 5X165X1021-001",1.0,0,0,"",1,1,"R215 OC Core End Plate 5X165X1021","R215 OC Core End Plate 5X165X1021","","","",1.0,"",0,1.0,"Nos","6rpc904e8m",0.0,0.0,1.0,0.0,"Folding",0,0.0,"",0.0,0.0,"Folding",1.0,"","",1,0,"","Corner Cutting, Punching, Folding and Blanking","","","","","","","","","","7hashi5jb5",2.3,"Aluminium Sheet 5MM Thk","",1,"Aluminium Sheet 5MM Thk","Aluminium Sheet 5MM Thk","",2.3,1.0,"",0,2.3,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6rpj9vm27p",0.0,0.0,1.0,0.0,"Sr. No. Punching",0,0.0,"",0.0,0.0,"Sr. No. Punching",1.0,"","",2,0,"","Sr. No. Punching","","","","","","","","","","","","","","","","","","","","","","",""
"BOM-Turbulator 0.3*250*44.5-002","Turbulator 0.3*250*44.5","Teksons Pvt Ltd",1.0,"","INR",1.0,"AL-PP-COMM-A011","Nos",1,1,0,1,"","","Valuation Rate","Standard Buying","INR",1.0,1,"Work Order","",0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.02,0.02,"Turbulator 0.3*250*44.5","Turbulator 0.3*250*44.5",0,0,"",0,"bom-turbulator-0.3*250*44.5-002","","",0,1,"","","","","jmejtet4ki","Aluminium Coil 0.3×250MM",0.015,1.0,"Kg",0,0.02,0.02,1.0,"",1.0,0,0,"",1,1,"Aluminium Coil 0.3×250MM","Aluminium Coil 0.3×250MM","","","",0.015,"",0,0.015,"Kg","jmergoc3nj",0.0,0.0,1.0,0.0,"Turbu Forming & Cutting",0,0.0,"",0.0,0.0,"Turbu Forming",1.0,"","",1,0,"","Turbulator Forming and Cutting","","","","","","","","","","jsleq76kno",0.015,"Aluminium Coil 0.3×250MM","",1,"Aluminium Coil 0.3×250MM","Aluminium Coil 0.3×250MM","",0.015,1.0,"",0,0.015,"Kg"
"BOM-Nut Cover for Condenser Mounting 43*30.3*1-001","Nut Cover for Condenser Mounting 43*30.3*1","Teksons Pvt Ltd",1.0,"","INR",1.0,"","Nos",1,1,0,1,"","","Valuation Rate","Standard Buying","INR",1.0,1,"Work Order","",0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.01,"Nut Cover for Condenser Mounting 43*30.3*1","Nut Cover for Condenser Mounting 43*30.3*1",0,0,"",0,"bom-nut-cover-for-condenser-mounting-43*30.3*1-001","","",0,0,"","","","","d09hsgcteh","MS – 1 MM Thk",0.01,1.0,"Kg",0,0.01,0.01,1.0,"",1.0,0,0,"",1,1,"MS – 1 MM Thk","MS – 1 MM Thk","","","",0.01,"",0,0.01,"Kg","d85n95agui",0.0,0.0,1.0,0.0,"Shearing (W) Operation",0,0.0,"",0.0,0.0,"Shearing",1.0,"","",1,0,"W Department","Accurate Cutting","","","","","","","","","","jb2hainb9v",0.01,"MS – 1 MM Thk","",1,"MS – 1 MM Thk","MS – 1 MM Thk","",0.01,1.0,"",0,0.01,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dibobnvghl",0.0,0.0,1.0,0.0,"Punching",0,0.0,"",0.0,0.0,"Punching",1.0,"","",2,0,"","Corner Cutting, Punching, Folding and Blanking","","","","","","","","","","","","","","","","","","","","","","",""
"BOM-Cage For M8 Sq Nut 182X50X0.5-001","Cage For M8 Sq Nut 182X50X0.5","Teksons Pvt Ltd",1.0,"","INR",1.0,"","Nos",1,1,0,1,"","","Valuation Rate","Standard Buying","INR",1.0,1,"Work Order","",0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,1.04,0.0,1.04,1.04,"Cage For M8 Sq Nut 182X50X0.5","Cage For M8 Sq Nut 182X50X0.5",0,0,"",0,"bom-cage-for-m8-sq-nut-182x50x0.5-001","","",0,0,"","","","","9utcb0cj67","GI – 0.5MM Thk",0.036,1.0,"Kg",0,0.04,0.04,1.0,"",1.0,0,0,"",1,1,"GI – 0.5MM Thk","GI – 0.5MM Thk","","","",0.036,"",0,0.036,"Kg","nf7as2scqt",0.0,0.0,1.0,0.0,"Folding",0,0.0,"",0.0,0.0,"Folding",1.0,"","",1,0,"","Corner Cutting, Punching, Folding and Blanking","","","","","","","","","","q2rq5tbr4h",0.036,"GI – 0.5MM Thk","",1,"GI – 0.5MM Thk","GI – 0.5MM Thk","",0.036,1.0,"",0,0.036,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9utl085em1","SQ Nut M8*1.25P",1.0,1.0,"Nos",0,1.0,1.0,1.0,"",1.0,0,0,"",1,1,"SQ Nut M8*1.25P","SQ Nut M8*1.25P","","","",1.0,"",0,1.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","q2rinnr0s6",1.0,"SQ Nut M8*1.25P","",1,"SQ Nut M8*1.25P","SQ Nut M8*1.25P","",1.0,1.0,"",0,1.0,"Nos"
"BOM-CAC Bottom Tank Sub Assy-001","R215 CAC Bottom Tank Sub Assy","Teksons Pvt Ltd",1.0,"","INR",1.0,"","Nos",1,1,0,1,"","","Valuation Rate","Standard Buying","INR",1.0,1,"Work Order","",0,0.0,0.0,0.0,0.0,6.36,0.0,0.0,6.36,0.0,6.36,6.36,"CAC Bottom Tank Sub Assy","CAC Bottom Tank Sub Assy",0,0,"",0,"bom-cac-bottom-tank-sub-assy-001","","",0,0,"","","","","86487g2jtq","R215 CAC Bottom Tank",1.0,5.81,"Nos",0,5.81,5.81,5.81,"BOM-R215 CAC Bottom Tank-001",1.0,0,0,"",1,1,"CAC Bottom Tank","R215 CAC Bottom Tank","","","",1.0,"",0,1.0,"Nos","2d088uardm",0.0,0.0,1.0,0.0,"Tank Assembly",0,0.0,"",0.0,0.0,"Tank Assembly",1.0,"","",1,0,"","Mig Welding","","","","","","","","","","2efj5rsk9v",1.81,"Aluminium Extrusion No 0239C-ALU-2-0001 110(H)*113(W)*7.5(T)*186Kg","",1,"Aluminium Extrusion No 0239C-ALU-2-0001 110(H)*113(W)*7.5(T)*186Kg","Aluminium Extrusion No 0239C-ALU-2-0001 110(H)*113(W)*7.5(T)*186Kg","",1.81,1.0,"",0,1.81,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","864r5geom2","R215 CAC Inlet and Outlet Pipe",1.0,0.25,"Nos",0,0.25,0.25,0.25,"BOM-CAC Inlet and Outlet Pipe-001",1.0,0,0,"",1,1,"CAC Inlet and Outlet Pipe","CAC Inlet and Outlet Pipe","","","",1.0,"",0,1.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2ef4fbetb2",0.253,"Aluminium Pipe ⌀ 76.0*3MM Thk","",1,"Aluminium Pipe ⌀ 76.0*3MM Thk","Aluminium Pipe ⌀ 76.0*3MM Thk","",0.253,1.0,"",0,0.253,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","864bkggstv","Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001",2.0,0.148333333,"Nos",0,0.3,0.3,0.148333333,"BOM-Tank End Plate for Extrusion No 0239C-ALU-2-0001-001",1.0,0,0,"",1,1,"Tank end plate for extrusion No  0239C-ALU-2-0001","Tank End Plate for Extrusion No 0239C-ALU-2-0001","","","",2.0,"",0,2.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2efsmqn5ro",0.298,"Aluminium Plate 110*5*2250MM","",1,"Aluminium Plate 110*5*2250MM","Aluminium Plate 110*5*2250MM","",0.298,1.0,"",0,0.298,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2efiqi2f8t",4.0,"Helicoil Insert","",1,"Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert","",4.0,1.0,"",0,4.0,"Nos"
"BOM-R215 CAC Bottom Tank-001","R215 CAC Bottom Tank","Teksons Pvt Ltd",1.0,"","INR",1.0,"AL-PP-0398CAC-F03","Nos",1,1,0,1,"","","Valuation Rate","Standard Buying","",1.0,1,"Work Order","",0,0.0,0.0,0.0,0.0,5.81,0.0,0.0,5.81,0.0,5.81,5.81,"R215 CAC Bottom Tank","CAC Bottom Tank",0,0,"",0,"bom-r215-cac-bottom-tank-001","","",0,1,"","","","","5gq2e6r5fb","R215 CAC Top and Bottom Tank 110x113x7.5x186LG",1.0,1.81,"Nos",0,1.81,1.81,1.81,"BOM-R215 CAC Top and Bottom Tank 110x113x7.5x186LG-001",1.0,0,0,"",1,1,"CAC Top and Bottom Tank","R215 CAC Top and Bottom Tank 110x113x7.5x186LG","","","",1.0,"",0,1.0,"Nos","5gqoh5qfpf",0.0,0.0,1.0,0.0,"Drilling & Boring",0,0.0,"",0.0,0.0,"Drilling & Boring",1.0,"","",1,0,"","Drilling, Boring and Milling","","","","","","","","","","imn347en4l",1.81,"Aluminium Extrusion No 0239C-ALU-2-0001 110(H)*113(W)*7.5(T)*186Kg","",1,"Aluminium Extrusion No 0239C-ALU-2-0001 110(H)*113(W)*7.5(T)*186Kg","Aluminium Extrusion No 0239C-ALU-2-0001 110(H)*113(W)*7.5(T)*186Kg","",1.81,1.0,"",0,1.81,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5gqai7benh","Helicoil Insert M10 X 1.5 X 15 Mm",4.0,1.0,"Nos",0,4.0,4.0,1.0,"",1.0,0,0,"",1,1,"Helicoil Insert","Helicoil Insert","","","",4.0,"",0,4.0,"Nos","5gqg7pqru5",0.0,0.0,1.0,0.0,"Helicoil Inserting",0,0.0,"",0.0,0.0,"Helicoil Insert",1.0,"","",2,0,"","Helicoil & Tapping","","","","","","","","","","imnojv9aie",4.0,"Helicoil Insert","",1,"Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert","",4.0,1.0,"",0,4.0,"Nos"
"BOM-R215-001","R215 Combi Cooler","Teksons Pvt Ltd",1.0,"","INR",1.0,"AL-PP-0398C-H28","Nos",1,1,0,1,"","","Valuation Rate","Standard Buying","",1.0,1,"Work Order","",0,0.0,0.0,0.0,0.0,369.37,0.0,0.0,369.37,0.0,369.37,369.37,"Hyundai R215 Combi Cooler","398 Product",0,0,"",0,"bom-r215-001","","",0,1,"","","","","5gnofqmbfb","R215 CAC",1.0,31.68,"Nos",0,31.68,31.68,31.68,"BOM-R215 CAC-001",1.0,0,0,"",1,1,"Charge Air Cooler","Charge Air Cooler","","","",1.0,"",0,1.0,"Nos","5gndeu9rsr",0.0,0.0,1.0,0.0,"Final Assembly",0,0.0,"",0.0,0.0,"Final Assembly",1.0,"","",1,0,"","Final Assembly","","","","","","","","","","gmr90l6saa",1.0,"Aluminium Bush 6063 Hyundai 8","",1,"0261Oc-Alu-2-004","Aluminium Bush 6063 Hyundai 8","",1.0,1.0,"",0,1.0,"Nos"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5gnelf84qs","R215 Bottom Cover Assembly",1.0,1.0,"Nos",0,1.0,1.0,1.0,"BOM-R215 Bottom Cover Assembly-001",1.0,0,0,"",1,1,"R215 Bottom Cover Assy","R215 Bottom Cover Assembly","","","",1.0,"",0,1.0,"Nos","5gn3vaarnv",0.0,0.0,1.0,0.0,"Pre Despatch Inspection",0,0.0,"",0.0,0.0,"PDI",1.0,"","",2,0,"","PDI","","","","","","","","","","gmrcen4jah",5.679,"Aluminium Coil 0.2*110","",1,"Aluminium Coil 0.2*110","Aluminium Coil 0.2*110","",5.679,1.0,"",0,5.679,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5gnqfna90l","R215 Bottom Flyscreen Assembly",1.0,4.5,"Nos",0,4.5,4.5,4.5,"BOM-R215 Bottom Flyscreen Assembly-001",1.0,0,0,"",1,1,"Bottom Flyscreen Assembly","R215 Bottom Flyscreen Assembly","","","",1.0,"",0,1.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gmram1c65j",0.207,"Aluminium Coil 0.2×140","",1,"Aluminium Coil 0.2×140","Aluminium Coil 0.2×140","",0.207,1.0,"",0,0.207,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5gn1ss30bp","Bottom Foam",2.0,1.0,"Nos",0,2.0,2.0,1.0,"",1.0,0,0,"",1,1,"Bottom Foam","Bottom Foam","","","",2.0,"",0,2.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gmrbu51617",3.708,"Aluminium Spacer Bar ALU-STD-0028 (8*10)","",1,"Aluminium Spacer Bar ALU-STD-0028 (8*10)","Aluminium Spacer Bar ALU-STD-0028 (8*10)","",3.708,1.0,"",0,3.708,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5gnsbmsch6","C Clamp Spacer",12.0,1.0,"Nos",0,12.0,12.0,1.0,"",1.0,0,0,"",1,1,"C Clamp Spacer","C Clamp Spacer","","","",12.0,"",0,12.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gmrcu372od",1.024,"Aluminium Extrusion No 0.0318C-ALU-2-0034 (50*25*150)","",1,"Aluminium Extrusion No 0.0318C-ALU-2-0034 (50*25*150)","Aluminium Extrusion No 0.0318C-ALU-2-0034 (50*25*150)","",1.024,1.0,"",0,1.024,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5gn0v1l8sj","Cage For M8 Sq Nut 182X50X0.5",8.0,1.04,"Nos",0,8.32,8.32,1.04,"BOM-Cage For M8 Sq Nut 182X50X0.5-001",1.0,0,0,"",1,1,"Cage For M8 Sq Nut 182X50X0.5","Cage For M8 Sq Nut 182X50X0.5","","","",8.0,"",0,8.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gmrv9t0htg",1.572,"Aluminium Extrusion No 0.0318C-ALU-2-0033 (31*19*25)","",1,"Aluminium Extrusion No 0.0318C-ALU-2-0033 (31*19*25)","Aluminium Extrusion No 0.0318C-ALU-2-0033 (31*19*25)","",1.572,1.0,"",0,1.572,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5gnv90frme","EPDM Drain Hose",1.0,1.0,"Nos",0,1.0,1.0,1.0,"",1.0,0,0,"",1,1,"EPDM Drain Hose","EPDM Drain Hose","","","",1.0,"",0,1.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gmrjl9isjp",1.188,"Aluminium Coil 0.2×200MM","",1,"Aluminium Coil 0.2×200MM","Aluminium Coil 0.2×200MM","",1.188,1.0,"",0,1.188,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5gn67nqcf7","R215 Fan Cowl",1.0,1.0,"Nos",0,1.0,1.0,1.0,"BOM-Fan Cowl-001",1.0,0,0,"",1,1,"Fan Cowl","Fan Cowl","","","",1.0,"",0,1.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gmruq4rcvk",12.6,"Aluminium Coil 0.6*110MM Thk","",1,"Aluminium Coil 0.6*110MM","Aluminium Coil 0.6*110MM","",12.6,1.0,"",0,12.6,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5gnqnluap7","R215 Finger Guard",1.0,1.0,"Nos",0,1.0,1.0,1.0,"",1.0,0,0,"",1,1,"Finger Guard","R215 Finger Guard","","","",1.0,"",0,1.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gmr427db5e",0.506,"Aluminium Pipe ⌀ 76.0*3MM Thk","",1,"Aluminium Pipe ⌀ 76.0*3MM Thk","Aluminium Pipe ⌀ 76.0*3MM Thk","",0.506,1.0,"",0,0.506,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5gnmubrnd2","Foam for CAC",2.0,1.0,"Nos",0,2.0,2.0,1.0,"",1.0,0,0,"",1,1,"Foam for CAC","Foam for CAC","","","",2.0,"",0,2.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gmrb3mpgc8",4.42,"Aluminium Sheet 5MM Thk","",1,"Aluminium Sheet 5MM Thk","Aluminium Sheet 5MM Thk","",4.42,1.0,"",0,4.42,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5gnq4s3dla","Foam for gap B/W Cooler and F/C",2.0,1.0,"Nos",0,2.0,2.0,1.0,"",1.0,0,0,"",1,1,"Foam for gap B/W Cooler and F/C","Foam for gap B/W Cooler and F/C","","","",2.0,"",0,2.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gmrkagaus5",12.838,"Aluminium Coil 0.3*110MM","",1,"Aluminium Coil 0.3*110MM","Aluminium Coil 0.3*110MM","",12.838,1.0,"",0,12.838,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5gno779iig","Foam for OIL Cooler",2.0,1.0,"Nos",0,2.0,2.0,1.0,"",1.0,0,0,"",1,1,"Foam for OIL Cooler","Foam for OIL Cooler","","","",2.0,"",0,2.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gmrmn48ukq",3.62,"Aluminium Extrusion No 0239C-ALU-2-0001 110(H)*113(W)*7.5(T)*186Kg","",1,"Aluminium Extrusion No 0239C-ALU-2-0001 110(H)*113(W)*7.5(T)*186Kg","Aluminium Extrusion No 0239C-ALU-2-0001 110(H)*113(W)*7.5(T)*186Kg","",3.62,1.0,"",0,3.62,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5gn41q1lp6","HEX Head Bolt M8*1.25P*25LG",18.0,1.0,"Nos",0,18.0,18.0,1.0,"",1.0,0,0,"",1,1,"HEX Head Bolt M8*1.25P*25LG","HEX Head Bolt M8*1.25P*25LG","","","",18.0,"",0,18.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gmrv0jt4d5",0.596,"Aluminium Plate 110*5*2250MM","",1,"Aluminium Plate 110*5*2250MM","Aluminium Plate 110*5*2250MM","",0.596,1.0,"",0,0.596,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5gn242j0dq","HEX Head Bolt M10*1.5P*30LG",28.0,1.0,"Nos",0,28.0,28.0,1.0,"",1.0,0,0,"",1,1,"HEX Head Bolt M10*1.5P*30LG","HEX Head Bolt M10*1.5P*30LG","","","",28.0,"",0,28.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gmrafv07ch",5.332,"Aluminium Spacer Bar ( ALU STD 0061 ) ( 9.5*15 )","",1,"Aluminium Spacer Bar ( ALU STD 0061 ) ( 9.5*15 )","Aluminium Spacer Bar ( ALU STD 0061 ) ( 9.5*15 )","",5.332,1.0,"",0,5.332,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5gnu2jnjde","Hose Clip",1.0,1.0,"Nos",0,1.0,1.0,1.0,"",1.0,0,0,"",1,1,"Hose Clip","Hose Clip","","","",1.0,"",0,1.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gmrn110i1g",3.007,"Aluminium Sheet 2.5MM Thk Without Cladded","",1,"Aluminium Sheet 2.5MM Thk Without Cladded","Aluminium Sheet 2.5MM Thk Without Cladded","",3.007,1.0,"",0,3.007,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5gnerfj9td","R215 LH – RH Condenser MTG BKT",1.0,1.0,"Pair",0,1.0,1.0,1.0,"BOM-LH – RH Condenser MTG BKT-001",1.0,0,0,"",1,1,"LH – RH Condenser MTG BKT","LH – RH Condenser MTG BKT","","","",1.0,"",0,1.0,"Set","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gmrqg1a51p",0.543555556,"Aluminium Plate 70*8*800MM","",1,"Aluminium Plate 70*8*800MM","Aluminium Plate 70*8*800MM","",0.543555556,1.0,"",0,0.543555556,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5gnqtlh0s9","R215 Ms Plate-2 (144X22X1.5)",1.0,1.04,"Nos",0,1.04,1.04,1.04,"BOM-MS Plate-2-001",1.0,0,0,"",1,1,"MS Plate-2","MS Plate-2","","","",1.0,"",0,1.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gmrvrvtdd7",11.61,"Aluminium Coil 0.7*110","",1,"Aluminium Coil 0.7*110","Aluminium Coil 0.7*110","",11.61,1.0,"",0,11.61,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5gnoti3h25","R215 Ms Plate-1(102X22X1.5)",1.0,1.03,"Nos",0,1.03,1.03,1.03,"BOM-MS Plate-1-001",1.0,0,0,"",1,1,"MS Plate-1","MS Plate-1","","","",1.0,"",0,1.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gmreld5oap",6.22,"Aluminium Extrusion No 0073C-ALU-2-0008 70(H)*113(W)*7.5(T)*377LG","",1,"Aluminium Extrusion No 0073C-ALU-2-0008 70(H)*113(W)*7.5(T)*377LG","Aluminium Extrusion No 0073C-ALU-2-0008 70(H)*113(W)*7.5(T)*377LG","",6.22,1.0,"",0,6.22,"Kg"
