"ID","Status","Item To Manufacture","BOM No","Qty To Manufacture","Target Warehouse","Planned Start Date","Stock UOM","Item Code (Required Items)","Operation (Required Items)","Required Qty (Required Items)","Stock UOM (Required Items)","Operation (Operations)","Sequence ID (Operations)","Planned Start Time (Operations)","Workstation (Operations)","Workstation Type (Operations)"
"WO/260808/0434","In Process","R215 External Fin For CAC 0.2*110*911","BOM-R215 External Fin For CAC 0.2*110*911-001",6.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","Aluminium Coil 0.2*110","Fin Forming",1.29,"Kg","Fin Forming",1,"","","Fin Forming and Cutting"
"WO/260808/0433","In Process","R215 CAC Core End Plate 5X165X941","BOM-R215 CAC Core End Plate 5X165X941-001",1.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","Aluminium Sheet 5MM Thk","Shearing",2.12,"Kg","Shearing",1,"","","Shearing Machine"
"WO/260808/0432","In Process","R215 CAC Core End Plate 5X140X941","BOM-R215 CAC Core End Plate 5X140X941-001",1.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","R215 CAC Core End Plate 5X165X941","Folding",1.0,"Nos","Folding",1,"","","Folding"
"","","","","","","","","","","","","Sr. No. Punching",2,"","","Sr. No. Punching"
"WO/260808/0431","In Process","R215 CAC Core End Plate 2.5X110X941","BOM-R215 CAC Core End Plate 2.5X110X941-001",1.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","Aluminium Sheet 2.5MM Thk Without Cladded","Shearing",0.706,"Kg","Shearing",1,"","","Shearing Machine"
"WO/260808/0430","In Process","R215 CAC Core","BOM-R215 CAC Core-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","R215 CAC Core End Plate 2.5X110X941","Core Assembly",1.0,"Nos","Core Assembly",1,"","","Core Fixing"
"","","","","","","","","R215 CAC Core End Plate 5X140X941","Core Assembly",1.0,"Nos","Core Brazing",2,"","","Brazing Furnace"
"","","","","","","","","R215 External Fin For CAC 0.2*110*911","Core Assembly",6.0,"Nos","","","","",""
"","","","","","","","","R215 External Fin For CAC 0.3*110*911","Core Assembly",4.0,"Nos","","","","",""
"","","","","","","","","Internal Fin For CAC 0.2*140*90","Core Assembly",9.0,"Nos","","","","",""
"","","","","","","","","Internal Fin For CAC 0.2*200*90","Core Assembly",36.0,"Nos","","","","",""
"","","","","","","","","Spacer Bar 9.5×15×110","Core Assembly",20.0,"Nos","","","","",""
"","","","","","","","","R215 Spacer Bar for CAC 8*10*941","Core Assembly",18.0,"Nos","","","","",""
"","","","","","","","","R215 Tube Sheet For CAC 0.6*110*941","Core Assembly",20.0,"Nos","","","","",""
"WO/260808/0429","In Process","R215 CAC","BOM-R215 CAC-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","R215 CAC Core","Tank To Core",1.0,"Nos","Tank To Core",1,"","","Mig Welding"
"","","","","","","","","R215 CAC Top Tank Sub Assy","Tank To Core",1.0,"Nos","Angle Assembly",2,"","","Mig Welding"
"","","","","","","","","R215 CAC Bottom Tank Sub Assy","Tank To Core",1.0,"Nos","Leak Testing",3,"","","Leak Test"
"","","","","","","","","Stay Block 50X25X150","Tank To Core",1.0,"Nos","","","","",""
"","","","","","","","","Condenser Mounting Block 31X19X25","Tank To Core",2.0,"Nos","","","","",""
"WO/260808/0428","In Process","R215 Combi Cooler","BOM-R215 Combi Cooler-001",1.0,"Finish Goods Stores - TPL","2026-08-08 00:00:00","Nos","R215 CAC","Assembly",1.0,"Nos","Final Assembly",1,"","","Final Assembly"
"","","","","","","","","R215 Bottom Cover Assembly","Assembly",1.0,"Nos","PDI",2,"","","PDI"
"","","","","","","","","R215 Bottom Flyscreen Assembly","Assembly",1.0,"Nos","","","","",""
"","","","","","","","","Bottom Foam","Assembly",2.0,"Nos","","","","",""
"","","","","","","","","C Clamp Spacer","Assembly",12.0,"Nos","","","","",""
"","","","","","","","","Cage For M8 Sq Nut 182X50X0.5","Assembly",8.0,"Nos","","","","",""
"","","","","","","","","EPDM Drain Hose","Assembly",1.0,"Nos","","","","",""
"","","","","","","","","R215 Fan Cowl","Assembly",1.0,"Nos","","","","",""
"","","","","","","","","R215 Finger Guard","Assembly",1.0,"Nos","","","","",""
"","","","","","","","","Foam for CAC","Assembly",2.0,"Nos","","","","",""
"","","","","","","","","Foam for gap B/W Cooler and F/C","Assembly",2.0,"Nos","","","","",""
"","","","","","","","","Foam for OIL Cooler","Assembly",2.0,"Nos","","","","",""
"","","","","","","","","HEX Head Bolt M8*1.25P*25LG","Assembly",18.0,"Nos","","","","",""
"","","","","","","","","HEX Head Bolt M10*1.5P*30LG","Assembly",28.0,"Nos","","","","",""
"","","","","","","","","Hose Clip","Assembly",1.0,"Nos","","","","",""
"","","","","","","","","R215 LH – RH Condenser MTG BKT","Assembly",1.0,"Set","","","","",""
"","","","","","","","","R215 Ms Plate-2 (144X22X1.5)","Assembly",1.0,"Nos","","","","",""
"","","","","","","","","R215 Ms Plate-1(102X22X1.5)","Assembly",1.0,"Nos","","","","",""
"","","","","","","","","M8 Nuts","Assembly",2.0,"Nos","","","","",""
"","","","","","","","","R215 OC","Assembly",1.0,"Nos","","","","",""
"","","","","","","","","M10 Plain Washer","Assembly",28.0,"Nos","","","","",""
"","","","","","","","","M8 Plain Washer","Assembly",26.0,"Nos","","","","",""
"","","","","","","","","R215 RAD","Assembly",1.0,"Nos","","","","",""
"","","","","","","","","Rivets - 4.8 X 12.5","Assembly",4.0,"Nos","","","","",""
"","","","","","","","","M10 Spring Washer","Assembly",28.0,"Nos","","","","",""
"","","","","","","","","M8 Spring Washer","Assembly",26.0,"Nos","","","","",""
"","","","","","","","","R215 Top Cover Assembly","Assembly",1.0,"Nos","","","","",""
"","","","","","","","","R215 Top Flyscreen Assembly","Assembly",1.0,"Nos","","","","",""
"","","","","","","","","Wing Bolt","Assembly",8.0,"Nos","","","","",""
"","","","","","","","","Pressure Cap","Assembly",1.0,"Nos","","","","",""
"","","","","","","","","Foam","Assembly",1.0,"Set","","","","",""
"","","","","","","","","Protective Cap for CAC","Assembly",2.0,"Nos","","","","",""
"","","","","","","","","Protective cap for OC","Assembly",2.0,"Nos","","","","",""
"","","","","","","","","Protective Cap for Radiator","Assembly",2.0,"Nos","","","","",""
"","","","","","","","","Sticker (Warning)","Assembly",1.0,"Nos","","","","",""
"","","","","","","","","Sticker (Part No)","Assembly",1.0,"Nos","","","","",""
"","","","","","","","","Sticker (Serial No)","Assembly",1.0,"Nos","","","","",""
"","","","","","","","","Nut Cover for Condenser Mounting 43*30.3*1","Assembly",2.0,"Nos","","","","",""
