"ID","Status","Item To Manufacture","BOM No","Qty To Manufacture","Target Warehouse","Planned Start Date","Stock UOM","Item Code (Required Items)","Operation (Required Items)","Required Qty (Required Items)","Stock UOM (Required Items)","Operation (Operations)","Sequence ID (Operations)","Planned Start Time (Operations)","Workstation (Operations)","Workstation Type (Operations)"
"","","","","","","","","Tank End Plate 97*62*5","Tank Assembly",2.0,"Nos","","","","",""
"WO/260808/0484","In Process","Turbulator 0.2*300*96.0","BOM-Turbulator 0.2*300*96.0-001",72.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","Aluminium Coil 0.2×300","Turbu Forming",2.088,"Kg","Turbu Forming",1,"","","Turbulator Forming and Cutting"
"WO/260808/0483","In Process","Turbulator 0.2*250*96.0","BOM-Turbulator 0.2*250*96.0-001",12.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","Aluminium Coil 0.2×250 Thk","Turbu Forming",0.288,"Kg","Turbu Forming",1,"","","Turbulator Forming and Cutting"
"WO/260808/0482","In Process","R215 RAD Tube Sheet 0.6*110*1021","BOM-R215 RAD Tube Sheet 0.6*110*1021-001",50.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","Aluminium Coil 0.6*110MM","Tube Sheet Cutting",9.2,"Kg","Tube Sheet Cutting",1,"","","Cut To Length"
"WO/260808/0481","In Process","R215 Fin For RAD 0.2*110*991","BOM-R215 Fin For RAD 0.2*110*991-001",19.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","Aluminium Coil 0.2*110","Fin Forming",4.389,"Kg","Fin Forming",1,"","","Fin Forming and Cutting"
"WO/260808/0480","In Process","R215 RAD Core End Plate2.5X110X1021","BOM-R215 RAD Core End Plate2.5X110X1021-001",2.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","R215 OC and RAD Core End Plate2.5X110X1021","Sr. No. Punching",2.0,"Nos","Sr. No. Punching",1,"","","Sr. No. Punching"
"WO/260808/0479","In Process","R215 RAD Core","BOM-R215 RAD Core-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","R215 RAD Core End Plate2.5X110X1021","Core Assembly",2.0,"Nos","Core Assembly",1,"","","Core Fixing"
"","","","","","","","","Extruded Bar for OC and RAD 3*7*1021","Core Assembly",48.0,"Nos","Core Brazing",2,"","","Brazing Furnace"
"","","","","","","","","R215 Fin For OC 0.3*110*991","Core Assembly",6.0,"Nos","","","","",""
"","","","","","","","","R215 Fin For RAD 0.2*110*991","Core Assembly",19.0,"Nos","","","","",""
"","","","","","","","","Spacer Bar 9.5×15×110","Core Assembly",50.0,"Nos","","","","",""
"","","","","","","","","R215 RAD Tube Sheet 0.6*110*1021","Core Assembly",50.0,"Nos","","","","",""
"","","","","","","","","Turbulator 0.2*250*96.0","Core Assembly",12.0,"Nos","","","","",""
"","","","","","","","","Turbulator 0.2*300*96.0","Core Assembly",72.0,"Nos","","","","",""
"WO/260808/0478","In Process","R215 RAD","BOM-R215 RAD-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","R215 RAD Core","Tank To Core",1.0,"Nos","Tank To Core",1,"","","Mig Welding"
"","","","","","","","","Drain Plug","Tank To Core",1.0,"Nos","Angle Assembly",2,"","","Mig Welding"
"","","","","","","","","R215 RAD Bottom Tank Sub Assy","Tank To Core",1.0,"Nos","Leak Testing",3,"","","Leak Test"
"","","","","","","","","R215 RAD Top Tank Sub Assy","Tank To Core",1.0,"Nos","","","","",""
"","","","","","","","","RAD Drain Bush","Tank To Core",1.0,"Nos","","","","",""
"","","","","","","","","R215 Radiator Drain Pipe Od∅10 X 17 Lgx 3","Tank To Core",1.0,"Nos","","","","",""
"WO/260808/0477","In Process","OC Inlet & Outlet Block 101X66X30","BOM-OC Inlet & Outlet Block 101X66X30-001",2.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","Aluminium Extrusion No 398C-ALU-2-0027 ( 101*66*33 )","Size Cutting",0.974,"Kg","Size Cutting",1,"","","Accurate Cutting"
"","","","","","","","","Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert",8.0,"Nos","Helicoil Insert",2,"","","Helicoil & Tapping"
"WO/260808/0476","In Process","R215 OC Top Tank","BOM-R215 OC Top Tank-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert",6.0,"Nos","Helicoil Insert",1,"","","Helicoil & Tapping"
"","","","","","","","","R215 OC Top & Bottom Tank 70x113x7.5x377LG","Helicoil Insert",1.0,"Nos","","","","",""
"WO/260808/0475","In Process","R215 OC Top Tank Sub Assy","BOM-R215 OC Top Tank Sub Assy-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008","Tank Assembly",2.0,"Nos","Tank Assembly",1,"","","Mig Welding"
"","","","","","","","","R215 OC Top Tank","Tank Assembly",1.0,"Nos","","","","",""
"WO/260808/0474","In Process","Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008","BOM-Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008-001",4.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","Aluminium Plate 70*8*800MM","Blanking",0.543555556,"Kg","Blanking",1,"","","Corner Cutting, Punching, Folding and Blanking"
"WO/260808/0473","In Process","R215 OC Top & Bottom Tank 70x113x7.5x377LG","BOM-R215 OC Top & Bottom Tank 70x113x7.5x377LG-001",2.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","Aluminium Extrusion No 0073C-ALU-2-0008 70(H)*113(W)*7.5(T)*377LG","Size Cutting",6.22,"Kg","Size Cutting",1,"","","Accurate Cutting"
"","","","","","","","","","","","","Drilling & Boring",2,"","","Drilling, Boring and Milling"
"WO/260808/0472","In Process","R215 OC Bottom Tank","BOM-R215 OC Bottom Tank-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","R215 OC Top & Bottom Tank 70x113x7.5x377LG","Helicoil Insert",1.0,"Nos","Helicoil Insert",1,"","","Helicoil & Tapping"
"","","","","","","","","Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert",6.0,"Nos","","","","",""
"WO/260808/0471","In Process","R215 OC Bottom Tank Sub Assy","BOM-R215 OC Bottom Tank Sub Assy-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","R215 OC Bottom Tank","Tank Assembly",1.0,"Nos","Tank Assembly",1,"","","Mig Welding"
"","","","","","","","","0261Oc-Alu-2-004","Tank Assembly",1.0,"Nos","","","","",""
"","","","","","","","","Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008","Tank Assembly",2.0,"Nos","","","","",""
"WO/260808/0470","In Process","Turbulator 0.3*300*44.5","BOM-Turbulator 0.3*300*44.5-001",156.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","Aluminium Coil 0.3×300MM","Turbu Forming",2.808,"Kg","Turbu Forming",1,"","","Turbulator Forming and Cutting"
"WO/260808/0469","In Process","Turbulator 0.3*250*44.5","BOM-Turbulator 0.3*250*44.5-001",26.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","Aluminium Coil 0.3×250MM","Turbu Forming",0.39,"Kg","Turbu Forming",1,"","","Turbulator Forming and Cutting"
"WO/260808/0468","In Process","R215 OC Tube Sheet 0.7*110*1021","BOM-R215 OC Tube Sheet 0.7*110*1021-001",54.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","Aluminium Coil 0.7*110","Tube Sheet Cutting",11.61,"Kg","Tube Sheet Cutting",1,"","","Cut To Length"
"WO/260808/0467","In Process","R215 OC Core End Plate 5X165X1021","BOM-R215 OC Core End Plate 5X165X1021-001",1.0,"WIP-RP - TPL","2026-08-08 00:00:00","Nos","Aluminium Sheet 5MM Thk","Shearing",2.3,"Kg","Shearing",1,"","","Shearing Machine"
"WO/260808/0466","In Process","R215 OC Core End Plate 5X140X1021","BOM-R215 OC Core End Plate 5X140X1021-001",1.0,"WIP-RP - TPL","2026-08-08 00:00:00","Nos","R215 OC Core End Plate 5X165X1021","Folding",1.0,"Nos","Folding",1,"","","Corner Cutting, Punching, Folding and Blanking"
"","","","","","","","","","","","","Sr. No. Punching",2,"","","Sr. No. Punching"
"WO/260808/0465","In Process","R215 Fin For OC 0.3*110*991","BOM-R215 Fin For OC 0.3*110*991-001",33.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","Aluminium Coil 0.3*110MM","Fin Forming",11.55,"Kg","Fin Forming",1,"","","Fin Forming and Cutting"
"WO/260808/0464","In Process","Extruded Bar for OC and RAD 3*7*1021","BOM-Extruded Bar for OC and RAD 3*7*1021-001",126.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","Aluminium Extruded Bar (ALU-STD-0043)(3*7)","Bar Cutting",7.434,"Kg","Bar Cutting",1,"","","Aluminium Bar Cutting"
"WO/260808/0463","In Process","R215 OC and RAD Core End Plate2.5X110X1021","BOM-R215 OC and RAD Core End Plate2.5X110X1021-001",3.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","Aluminium Sheet 2.5MM Thk Without Cladded","Shearing",2.301,"Kg","Shearing",1,"","","Shearing Machine"
"WO/260808/0462","In Process","R215 OC Core","BOM-R215 OC Core-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","R215 OC and RAD Core End Plate2.5X110X1021","Core Assembly",1.0,"Nos","Core Assembly",1,"","","Core Fixing"
"","","","","","","","","Extruded Bar for OC and RAD 3*7*1021","Core Assembly",78.0,"Nos","Core Brazing",2,"","","Brazing Furnace"
"","","","","","","","","R215 Fin For OC 0.3*110*991","Core Assembly",27.0,"Nos","","","","",""
"","","","","","","","","R215 OC Core End Plate 5X140X1021","Core Assembly",1.0,"Nos","","","","",""
"","","","","","","","","Spacer Bar 9.5×15×110","Core Assembly",54.0,"Nos","","","","",""
