Bulk Edit Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcode,Has Item Scanned,Source Warehouse,Target Warehouse,Item Code,Item Name,Is Finished Item,Is Scrap Item,Quality Inspection,Subcontracted Item,Description,Item Group,Image,Qty,Qty as per Stock UOM,Retain Sample,UOM,Stock UOM,Conversion Factor,Sample Quantity,Basic Rate (as per Stock UOM),Additional Cost,Valuation Rate,Allow Zero Valuation Rate,Set Basic Rate Manually,Basic Amount,Amount,Use Serial No / Batch Fields,Serial and Batch Bundle,Serial No,Batch No,Difference Account,Cost Center,Project,Actual Qty (at source/target),Transferred Qty,BOM No,Allow Alternative Item,Material Request,Material Request Item,Pick List Item,Original Item,Against Stock Entry,Stock Entry Child,PO Supplied Item,SCO Supplied Item,Putaway Rule,Reference Purchase Receipt,Job Card Item
barcode,has_item_scanned,s_warehouse,t_warehouse,item_code,item_name,is_finished_item,is_scrap_item,quality_inspection,subcontracted_item,description,item_group,image,qty,transfer_qty,retain_sample,uom,stock_uom,conversion_factor,sample_quantity,basic_rate,additional_cost,valuation_rate,allow_zero_valuation_rate,set_basic_rate_manually,basic_amount,amount,use_serial_batch_fields,serial_and_batch_bundle,serial_no,batch_no,expense_account,cost_center,project,actual_qty,transferred_qty,bom_no,allow_alternative_item,material_request,material_request_item,pick_list_item,original_item,against_stock_entry,ste_detail,po_detail,sco_rm_detail,putaway_rule,reference_purchase_receipt,job_card_item
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,BOM No. for a Finished Good Item , ,Material Request used to make this Stock Entry , , , , , , , , , , 
The CSV format is case sensitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do not edit headers which are preset in the template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,0261Oc-Alu-2-004,,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Bottom Foam,,,,,,,,,10,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,C Clamp Spacer,,,,,,,,,60,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Drain Plug,,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Drain Plug,,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,EPDM Drain Hose,,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Filler Neck 14PSI,,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Filler Neck Over Flow Pipe,,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Foam,,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Foam for CAC,,,,,,,,,10,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Foam for gap B/W Cooler and F/C,,,,,,,,,10,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Foam for OIL Cooler,,,,,,,,,10,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-CNC - TPL,Helicoil Insert M 12 X 1.75 X 18Mm,,,,,,,,,10,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-CNC - TPL,Helicoil Insert M10 X 1.5 X 15 Mm,,,,,,,,,20,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-CNC - TPL,Helicoil Insert M10 X 1.5 X 15 Mm,,,,,,,,,20,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Helicoil Insert M10 X 1.5 X 15 Mm,,,,,,,,,30,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-CNC - TPL,Helicoil Insert M10 X 1.5 X 15 Mm,,,,,,,,,40,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Helicoil Insert M10 X 1.5 X 15 Mm,,,,,,,,,20,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
