Bulk Edit Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcode,Has Item Scanned,Source Warehouse,Target Warehouse,Item Code,Item Name,Is Finished Item,Is Scrap Item,Quality Inspection,Subcontracted Item,Description,Item Group,Image,Qty,Qty as per Stock UOM,Retain Sample,UOM,Stock UOM,Conversion Factor,Sample Quantity,Basic Rate (as per Stock UOM),Additional Cost,Valuation Rate,Allow Zero Valuation Rate,Set Basic Rate Manually,Basic Amount,Amount,Use Serial No / Batch Fields,Serial and Batch Bundle,Serial No,Batch No,Difference Account,Cost Center,Project,Actual Qty (at source/target),Transferred Qty,BOM No,Allow Alternative Item,Material Request,Material Request Item,Pick List Item,Original Item,Against Stock Entry,Stock Entry Child,PO Supplied Item,SCO Supplied Item,Putaway Rule,Reference Purchase Receipt,Job Card Item
barcode,has_item_scanned,s_warehouse,t_warehouse,item_code,item_name,is_finished_item,is_scrap_item,quality_inspection,subcontracted_item,description,item_group,image,qty,transfer_qty,retain_sample,uom,stock_uom,conversion_factor,sample_quantity,basic_rate,additional_cost,valuation_rate,allow_zero_valuation_rate,set_basic_rate_manually,basic_amount,amount,use_serial_batch_fields,serial_and_batch_bundle,serial_no,batch_no,expense_account,cost_center,project,actual_qty,transferred_qty,bom_no,allow_alternative_item,material_request,material_request_item,pick_list_item,original_item,against_stock_entry,ste_detail,po_detail,sco_rm_detail,putaway_rule,reference_purchase_receipt,job_card_item
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,BOM No. for a Finished Good Item , ,Material Request used to make this Stock Entry , , , , , , , , , , 
The CSV format is case sensitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do not edit headers which are preset in the template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Helicoil Insert M10 X 1.5 X 15 Mm,,,,,,,,,20,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-CNC - TPL,Helicoil Insert M8 X 1.25 X 16Mm (2 D),,,,,,,,,20,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,HEX Head Bolt M10*1.5P*30LG,,,,,,,,,140,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,HEX Head Bolt M8*1.25P*25LG,,,,,,,,,90,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-W - TPL,HEX Nut M8*1.25P,,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-W - TPL,HEX Nut M8*1.25P,,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Hose Clip,,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,M10 Plain Washer,,,,,,,,,140,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,M10 Spring Washer,,,,,,,,,140,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,M8 Nuts,,,,,,,,,10,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,M8 Plain Washer,,,,,,,,,130,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,M8 Spring Washer,,,,,,,,,130,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Pressure Cap,,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Protective Cap for CAC,,,,,,,,,10,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Protective cap for OC,,,,,,,,,10,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Protective Cap for Radiator,,,,,,,,,10,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-RA - TPL,R215 Fan Cowl,,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,R215 Finger Guard,,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-RA - TPL,R215 LH – RH Condenser MTG BKT,,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-RA - TPL,R215 Top Cover Assembly,,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,RAD Drain Bush,,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Rivets - 4.8 X 12.5,,,,,,,,,20,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Rubber Seal,,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-RP - TPL,SQ Nut M8*1.25P,,,,,,,,,40,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Sticker (Part No),,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Sticker (Serial No),,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Sticker (Warning),,,,,,,,,5,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-RA - TPL,U Piece Angle-1 for Flyscreen - 910(L)*15(W)*7(T),,,,,,,,,10,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-RA - TPL,U Piece Angle-1 for Flyscreen - 910(L)*15(W)*7(T),,,,,,,,,10,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-RA - TPL,U Piece Angle-2 for Flyscreen - 529(W)*15(H)*7(T),,,,,,,,,10,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-RA - TPL,U Piece Angle-2 for Flyscreen - 529(W)*15(H)*7(T),,,,,,,,,10,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOF Stores - TPL,WIP-Ralu Weld - TPL,Wing Bolt,,,,,,,,,40,,,Nos,Nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-Ralu In - TPL,Aluminium Coil 0.2*110,,,,,,,,,7,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-Ralu In - TPL,Aluminium Coil 0.2*110,,,,,,,,,21.95,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-Ralu In - TPL,Aluminium Coil 0.2×140,,,,,,,,,2,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-Ralu In - TPL,Aluminium Coil 0.2×200MM,,,,,,,,,6,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-Ralu In - TPL,Aluminium Coil 0.2×250 Thk,,,,,,,,,2,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-Ralu In - TPL,Aluminium Coil 0.2×300,,,,,,,,,11,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-Ralu In - TPL,Aluminium Coil 0.3*110MM,,,,,,,,,7,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-Ralu In - TPL,Aluminium Coil 0.3*110MM,,,,,,,,,58,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-Ralu In - TPL,Aluminium Coil 0.3×250MM,,,,,,,,,2,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-Ralu In - TPL,Aluminium Coil 0.3×300MM,,,,,,,,,15,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-Ralu In - TPL,Aluminium Coil 0.6*110MM,,,,,,,,,17,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-Ralu In - TPL,Aluminium Coil 0.6*110MM,,,,,,,,,46,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-Ralu In - TPL,Aluminium Coil 0.7*110,,,,,,,,,59,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-Ralu In - TPL,Aluminium Extruded Bar (ALU-STD-0043)(3*7),,,,,,,,,38,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-CNC - TPL,Aluminium Extrusion No 0.0318C-ALU-2-0033 (31*19*25),,,,,,,,,8,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-CNC - TPL,Aluminium Extrusion No 0.0318C-ALU-2-0034 (50*25*150),,,,,,,,,6,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-CNC - TPL,Aluminium Extrusion No 0073C-ALU-2-0008 70(H)*113(W)*7.5(T)*377LG,,,,,,,,,32,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-CNC - TPL,Aluminium Extrusion No 0239C-ALU-2-0001 110(H)*113(W)*7.5(T)*186Kg,,,,,,,,,19,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-CNC - TPL,Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG,,,,,,,,,10,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-CNC - TPL,Aluminium Extrusion No 398C-ALU-2-0027 ( 101*66*33 ),,,,,,,,,5,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-Ralu Weld - TPL,Aluminium Pipe ⌀ 76.0*3MM Thk,,,,,,,,,3,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-Ralu Weld - TPL,Aluminium Pipe 48.6*5MM Thk,,,,,,,,,2,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-Ralu Weld - TPL,Aluminium Pipe OD⌀10*ID⌀6*17L,,,,,,,,,5,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-CNC - TPL,Aluminium Plate 110*5*2250MM,,,,,,,,,5,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-RP - TPL,Aluminium Plate 70*8*800MM,,,,,,,,,7,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-W - TPL,Aluminium Sheet 2.5MM Thk Without Cladded,,,,,,,,,4,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-W - TPL,Aluminium Sheet 2.5MM Thk Without Cladded,,,,,,,,,12,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-W - TPL,Aluminium Sheet 5MM Thk,,,,,,,,,11,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-W - TPL,Aluminium Sheet 5MM Thk,,,,,,,,,12,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-Ralu In - TPL,Aluminium Spacer Bar ( ALU STD 0061 ) ( 9.5*15 ),,,,,,,,,27,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-Ralu In - TPL,Aluminium Spacer Bar ALU-STD-0028 (8*10),,,,,,,,,19,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-RP - TPL,GI - 0.5MM Thk,,,,,,,,,2,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-RA - TPL,MS,,,,,,,,,2,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-RA - TPL,MS,,,,,,,,,2,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-W - TPL,MS - 1 MM Thk,,,,,,,,,2,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-CNC - TPL,MS - 1 MM Thk,,,,,,,,,1,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-W - TPL,MS - 1.5 MM Thk,,,,,,,,,1,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-W - TPL,MS - 1.5MM Thk,,,,,,,,,1,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-W - TPL,MS - 2MM Thk,,,,,,,,,1,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-W - TPL,MS - 2MM Thk,,,,,,,,,1,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-RA - TPL,R215 Bottom Cover Assembly,,,,,,,,,5,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Material Stores - TPL,WIP-RP - TPL,Tank End Plate 70*5*595,,,,,,,,,5,,,Kg,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
