"ID","Series","Status","Item To Manufacture","BOM No","Company","Qty To Manufacture","Target Warehouse","Planned Start Date","Item Code (Required Items)","Operation (Required Items)","Required Qty (Required Items)","Source Warehouse (Required Items)","Workstation (Operations)","Workstation Type (Operations)","Sequence ID (Operations)","Operation (Operations)"
"WO/260808/0263","WO/.YY.MM.DD./.####.","Draft","Cage For M8 Sq Nut 182X50X0.5","BOM-Cage For M8 Sq Nut 182X50X0.5-001","Teksons Pvt Ltd",8.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","GI - 0.5MM Thk","Folding",0.288,"Raw Material Stores - TPL","","Corner Cutting, Punching, Folding and Blanking",1,"Folding"
"","","","","","","","","","SQ Nut M8*1.25P","Folding",8.0,"BOF Stores - TPL","","","",""
"WO/260808/0262","WO/.YY.MM.DD./.####.","Draft","R215 Top and Bottom Flyscreen Mounting Plate 35X30X2","BOM-R215 Top and Bottom Flyscreen Mounting Plate 35X30X2-001","Teksons Pvt Ltd",8.0,"WIP-RA - TPL","2026-08-08 00:00:00","MS - 2MM Thk","Shearing",0.128,"Raw Material Stores - TPL","","Shearing Machine",1,"Shearing"
"","","","","","","","","","","","","","","Corner Cutting, Punching, Folding and Blanking",2,"Punching"
"WO/260808/0261","WO/.YY.MM.DD./.####.","Draft","R215 Bottom Flyscreen Center Plate 453X10X2","BOM-R215 Bottom Flyscreen Center Plate 453X10X2-001","Teksons Pvt Ltd",2.0,"WIP-RA - TPL","2026-08-08 00:00:00","MS - 2MM Thk","Shearing",0.142,"Raw Material Stores - TPL","","Shearing Machine",1,"Shearing"
"WO/260808/0260","WO/.YY.MM.DD./.####.","Draft","R215 Bottom Flyscreen Wire Mash 903X475","BOM-R215 Bottom Flyscreen Wire Mash 903X475-001","Teksons Pvt Ltd",1.0,"WIP-RA - TPL","2026-08-08 00:00:00","MS","Rolling & Cutting",0.282,"Raw Material Stores - TPL","","Manual Rolling and Cutting",1,"Rolling & Cutting"
"WO/260808/0259","WO/.YY.MM.DD./.####.","Draft","R215 Bottom Flyscreen Assembly","BOM-R215 Bottom Flyscreen Assembly-001","Teksons Pvt Ltd",1.0,"WIP-RA - TPL","2026-08-08 00:00:00","R215 Bottom Flyscreen Wire Mash 903X475","Assembly",1.0,"WIP-RA - TPL","","RA Assembly",1,"Assembly"
"","","","","","","","","","U Piece Angle-1 for Flyscreen - 910(L)*15(W)*7(T)","Assembly",2.0,"BOF Stores - TPL","","RA Painting",2,"Painting"
"","","","","","","","","","U Piece Angle-2 for Flyscreen - 529(W)*15(H)*7(T)","Assembly",2.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","R215 Bottom Flyscreen Center Plate 453X10X2","Assembly",2.0,"WIP-RA - TPL","","","",""
